"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
-3.9886,-2.7479,-2.5257,-1.1019,-2.1837,-1.7303,3.3087,-5.021,-11.966,-1.6027,-4.6437,0.3031,-8.5681,-1.8999,-2.8995,-4.5098,-6.0026,-0.1243,-5.42,-4.177,-6.0092,-2.9956,-3.3534,-4.7928,-2.4524,0.0452,-0.6184,-4.4495,-4.5104,0.408,-0.3728,-1.4748
-4.2117,-2.9075,-2.7987,-1.1799,-2.2972,-1.9347,3.4767,-5.3613,-12.7405,-1.7163,-4.8001,0.2896,-9.058,-2.0235,-3.1009,-4.7712,-6.3942,-0.1667,-5.6501,-4.4292,-6.3807,-3.1857,-3.5108,-5.009,-2.6222,-0.0101,-0.724,-4.7998,-4.7853,0.3708,-0.3834,-1.5587
-4.4405,-3.0806,-3.0808,-1.2646,-2.4125,-2.1553,3.6486,-5.717,-13.5456,-1.8378,-4.9499,0.271,-9.578,-2.1574,-3.32,-5.0477,-6.8097,-0.2097,-5.8883,-4.6921,-6.7775,-3.3895,-3.675,-5.2236,-2.8026,-0.0657,-0.8306,-5.1633,-5.0733,0.3347,-0.3964,-1.6494
-4.6837,-3.2722,-3.3607,-1.3504,-2.5185,-2.3881,3.8502,-6.0991,-14.4165,-1.975,-5.0781,0.2462,-10.1769,-2.3134,-3.5585,-5.3849,-7.2888,-0.2436,-6.1546,-4.9938,-7.1878,-3.6146,-3.8715,-5.4322,-3.0209,-0.117,-0.9158,-5.5587,-5.377,0.3577,-0.4241,-1.7209
-4.9379,-3.4981,-3.6329,-1.4423,-2.6133,-2.6504,4.0751,-6.5089,-15.3566,-2.1344,-5.1759,0.2085,-10.8763,-2.5019,-3.8377,-5.7905,-7.8474,-0.2653,-6.4605,-5.3368,-7.6441,-3.8756,-4.1026,-5.6261,-3.2795,-0.1575,-0.9752,-5.9835,-5.7043,0.4429,-0.4696,-1.7826
-5.197,-3.6714,-3.9668,-1.5268,-2.7482,-2.896,4.2644,-6.9013,-16.2581,-2.2655,-5.3665,0.1936,-11.4126,-2.6389,-4.0603,-6.0754,-8.2901,-0.3211,-6.7178,-5.6275,-8.0717,-4.0896,-4.2701,-5.8801,-3.4628,-0.2277,-1.1128,-6.3914,-6.0171,0.3861,-0.4739,-1.8759
-1.0802,0.7803,-4.4383,-1.4448,-0.4006,-1.8688,1.3728,-2.7898,-6.7276,-0.4421,-3.2124,-0.8539,-0.3595,-0.9325,0.9368,-1.3423,-2.3036,0.121,1.5915,-3.8586,-2.1831,-1.5053,-2.2073,-1.9351,0.1428,2.2054,1.0163,-1.3385,2.2667,-1.0913,-0.1884,-0.5887
-5.4039,-2.7696,-5.8173,-1.7041,-3.9017,-2.8,3.3247,-6.8961,-15.7978,-1.6745,-7.4791,0.6407,-7.9912,-1.5422,-3.1682,-3.1983,-5.7126,-1.2477,-5.4672,-4.3113,-8.0331,-3.2413,-2.7747,-7.354,-1.8192,-1.0456,-3.2126,-6.2044,-6.0582,-3.7162,0.5406,-3.1954
-5.1674,-1.8395,-7.0992,-1.9721,-4.732,-2.315,2.1858,-6.5274,-13.9804,-0.981,-8.5845,0.9589,-4.314,-0.4116,-2.1594,-0.2752,-2.8048,-2.0717,-3.5388,-2.5999,-7.2185,-2.1871,-1.2266,-8.0023,-0.3324,-1.7919,-4.8867,-5.5093,-5.723,-7.5762,1.4053,-4.424
-3.9181,-2.82,-2.3251,1.2465,-1.6418,1.3809,4.1852,-1.5415,-6.2897,-2.6231,-1.3644,-1.9106,-1.1034,-2.4782,-3.2369,-1.0792,-3.1753,-2.8649,2.1648,-2.8631,-4.8145,-0.9637,3.4852,-1.6998,1.3509,-3.3727,-3.3728,-0.1889,-2.3776,-3.6152,-0.0936,-3.8259
