"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
5.3046,2.7272,3.0591,-0.0867,0.6341,2.2642,1.5749,3.279,1.4036,1.559,6.4991,1.4827,2.3613,0.9251,7.1207,0.5862,1.7961,2.1149,2.1547,5.1986,-1.6273,1.7662,0.78,1.2295,-0.1536,0.1627,1.6767,4.2307,-1.9516,0.4848,1.3923,1.193
5.5722,2.8635,3.2127,-0.1537,0.648,2.4386,1.6974,3.4413,1.4878,1.6449,6.7543,1.5709,2.4694,0.9692,7.4194,0.5623,1.8416,2.1703,2.2449,5.4157,-1.8217,1.8054,0.7839,1.2415,-0.2173,0.143,1.723,4.4393,-2.1604,0.4501,1.4682,1.2506
5.839,2.9583,3.3851,-0.2563,0.6335,2.618,1.845,3.6219,1.5739,1.7182,7.0172,1.5869,2.6111,0.9936,7.7369,0.5175,1.8333,2.1847,2.3318,5.6199,-2.026,1.8337,0.7492,1.1856,-0.3297,0.1003,1.7463,4.6679,-2.4441,0.3837,1.5272,1.2826
6.1373,3.0488,3.5793,-0.3833,0.6052,2.7799,1.9885,3.8477,1.6653,1.7894,7.3048,1.565,2.7806,1.0216,8.0667,0.4692,1.8092,2.1623,2.4223,5.8046,-2.2468,1.8756,0.6893,1.0499,-0.4755,0.0524,1.7611,4.9192,-2.7945,0.3016,1.587,1.303
6.4644,3.28,3.6757,-0.4074,0.6565,3.0103,2.1068,4.08,1.7366,1.9447,7.6726,1.7161,2.899,1.1174,8.4902,0.4713,1.9504,2.3757,2.5519,6.0257,-2.5649,1.9342,0.753,1.2273,-0.4277,0.0384,1.8568,5.2844,-2.9757,0.3044,1.6403,1.4448
0.0168,-0.4872,-3.3506,-5.3177,-2.562,-1.1335,-1.286,0.3373,-0.8556,-0.2492,-1.8402,-0.0822,-0.4525,-1.9197,-2.9193,-4.1333,-2.4191,-0.5102,-5.246,-5.6499,-6.0263,-1.2998,-0.902,-4.4229,-2.5382,-1.1887,-1.1571,1.2143,-5.394,-2.4483,-0.9787,-1.0512
6.9159,5.9034,2.6972,1.3308,2.2567,4.1286,1.6966,3.207,1.7692,3.1432,8.0785,5.9231,1.3686,2.1688,9.1495,1.3481,4.8604,5.6745,3.1682,7.9115,-3.241,2.1404,3.0731,6.5287,2.465,0.9299,3.2851,5.4676,0.6939,1.862,2.3739,3.2565
-0.6543,1.1307,1.0648,2.6504,1.493,0.5214,0.2395,0.1255,-0.7568,-0.5372,-0.1316,2.4693,-2.512,-0.7898,-1.4518,-2.8374,0.9837,1.4127,-2.0405,-2.8199,-3.5205,-2.3966,1.7484,2.875,0.2356,0.53,2.2715,0.1718,2.5286,1.5909,0.1942,1.0334
0.078,0.8965,2.8201,2.8013,2.1812,0.5415,1.5393,-0.5356,0.0487,-0.0965,0.553,3.0845,-2.0607,0.3285,-0.2082,0.7301,1.5722,1.2526,1.1136,2.4372,-0.0265,-0.8949,2.7012,4.6922,1.223,0.5081,1.9318,-1.6073,4.1251,1.9149,1.3335,1.2365
0.3203,0.1814,-0.1573,0.1306,1.2489,-1.4974,1.3056,-0.5288,-0.2783,1.2205,0.0166,1.9461,-0.4395,1.6315,1.8526,3.6317,1.2635,0.2452,2.6946,4.6667,2.355,1.3721,2.3741,3.3951,1.3491,-0.0059,0.3401,-2.8666,3.2731,1.5774,1.0705,0.6344
