"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
0.3102,1.6661,-1.8461,-0.1371,-0.2989,-0.485,0.3008,1.5947,1.4798,1.5053,0.6175,-0.3064,0.9514,-0.7812,1.1307,0.2963,-0.4826,0.3855,0.1666,2.6642,2.3033,0.8118,2.6807,-2.2806,2.9274,0.9221,-0.0445,-0.5701,-0.403,1.2282,0.5861,1.1652
0.3233,1.8738,-2.0127,-0.1404,-0.3256,-0.5817,0.3217,1.7502,1.6006,1.6411,0.6706,-0.3475,1.0441,-0.8166,1.2313,0.3543,-0.5621,0.4582,0.1559,2.9254,2.4784,0.9093,2.8945,-2.4498,3.1958,0.9875,-0.0558,-0.6102,-0.4129,1.3148,0.6507,1.2371
0.3902,2.137,-2.1924,-0.1445,-0.3166,-0.6634,0.3742,1.9235,1.7502,1.8223,0.7463,-0.3988,1.1251,-0.8305,1.3754,0.4181,-0.5905,0.5003,0.1854,3.2571,2.6872,1.0083,3.1885,-2.6533,3.5371,1.0681,-0.038,-0.6561,-0.4181,1.4378,0.7269,1.345
0.4514,2.0237,-2.2708,-0.1479,-0.288,-0.4573,0.4937,1.8688,1.859,1.8618,0.7332,-0.3848,1.0812,-0.9312,1.5162,0.4038,-0.4723,0.2603,0.3209,3.276,2.8516,0.9284,3.3635,-2.8241,3.5867,1.0702,-0.0771,-0.674,-0.5099,1.5581,0.7006,1.5142
-0.2508,-0.9715,-1.8569,-0.0137,0.0335,0.4862,-0.338,0.7993,1.0218,0.0893,0.3667,-0.7999,0.4576,-0.3746,1.8181,-0.2282,-1.3914,-0.5711,0.892,-0.8445,0.1386,0.1598,1.301,-0.4604,1.9023,-0.4522,0.1496,1.4938,-0.0772,0.917,0.3043,1.487
2.1456,-0.733,-0.0775,0.5678,0.2561,1.4513,0.4001,0.8268,0.1395,-0.3054,1.037,1.3791,0.7787,-0.4618,1.642,0.0075,0.8767,-0.4199,3.3804,-1.4938,0.0064,-0.0125,1.0935,1.98,0.434,0.2775,0.9688,1.7966,-0.1829,1.6489,0.0892,1.3748
1.7894,-1.1893,-0.212,-0.087,-1.7512,-0.5869,-1.1251,-0.8856,-1.0608,-2.538,0.5015,2.177,0.8733,-2.1554,-0.0382,-0.6724,0.2199,-0.4185,3.984,-2.398,-0.8608,-1.0973,-0.8302,2.4999,-2.4455,-0.2262,-0.336,0.7516,-0.2192,1.1427,-0.1053,0.7633
-4.6407,-4.8256,-2.0407,-2.0776,-3.2718,-1.3842,-3.7864,-4.1882,-0.4414,-5.0787,-1.3649,-0.305,0.4304,-2.3256,-2.8622,-0.8382,-3.4162,-0.8155,-0.8803,-4.8234,-0.9446,-3.3129,-3.7088,-2.8917,-7.1323,-2.9474,-4.5071,-0.86,-1.6757,-1.6579,0.0298,0.2585
-1.9659,-2.2481,-1.0109,-1.1378,-2.5317,-1.3898,-1.3506,-4.9836,-1.6876,-5.8731,-1.1738,0.4903,-1.5388,-1.8076,-1.6007,-0.6274,-2.0639,-0.7391,1.8394,-4.1838,-3.6786,-3.2966,-1.9146,1.3059,-3.5792,-1.6544,-1.986,-1.1406,0.8821,-0.2644,-0.1695,-0.0728
-0.0299,-0.4165,-0.4114,-0.703,-1.3173,0.5725,0.481,-3.6522,-0.462,-2.104,-1.449,-0.0868,-1.9505,-0.5995,-2.4193,0.4487,-1.0096,0.8208,1.3354,-2.3362,-4.1262,-1.0485,-1.4266,0.7705,-3.1481,0.3309,-1.6636,-0.1038,0.0181,0.631,-0.8955,-0.5149
