"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
0.9316,-5.3154,-2.4435,-0.5053,-0.3081,-1.5596,0.2658,-0.5415,1.7552,1.2261,1.2189,-2.4863,1.0392,1.6958,2.2124,-1.3505,-0.4064,-2.1832,0.4607,-0.0401,-0.1747,1.2183,0.7109,0.5355,0.6355,1.1652,1.0954,0.1117,-0.7449,-1.0601,-0.0055,-0.3498
0.7682,-5.6994,-2.6392,-0.5663,-0.3449,-1.928,0.1753,-0.5548,1.7234,1.2592,1.2968,-2.5712,1.1171,1.785,2.2255,-1.442,-0.4155,-2.3655,0.278,-0.0512,-0.2576,1.2421,0.7446,0.4337,0.6664,1.1669,1.0963,0.0752,-0.8007,-1.1819,-0.0272,-0.3777
0.6266,-6.1992,-2.8414,-0.6127,-0.3785,-2.3979,0.0934,-0.5378,1.7302,1.2825,1.4106,-2.6482,1.2171,1.9382,2.2996,-1.521,-0.4215,-2.6293,0.046,-0.0744,-0.3701,1.2601,0.7929,0.3325,0.6946,1.1636,1.0958,0.0245,-0.8946,-1.3205,-0.0441,-0.4075
0.4565,-6.7435,-3.0564,-0.6448,-0.3884,-2.897,0.0277,-0.5303,1.7564,1.302,1.5155,-2.7698,1.3316,2.1039,2.3487,-1.6242,-0.4338,-2.8744,-0.1823,-0.0952,-0.4543,1.2836,0.8628,0.2166,0.7344,1.1974,1.1403,-0.0042,-0.955,-1.4625,-0.0255,-0.4236
0.1353,-6.7611,-3.2467,-0.7247,-0.4066,-3.0142,-0.0302,-0.666,1.6314,1.3689,1.4225,-2.9815,1.3662,1.957,2.0236,-1.8734,-0.5061,-2.7017,-0.1752,-0.0586,-0.4011,1.3401,0.8907,0.0756,0.8034,1.319,1.2545,0.0923,-0.7959,-1.5188,0,-0.4059
0.2514,-3.3819,-1.3019,-0.384,0.1506,-1.66,0.5252,0.1347,0.174,-0.1602,-0.1341,-1.1648,1.0372,1.4755,0.6327,0.1857,0.8727,-0.7598,-0.7898,0.6737,0.142,0.0195,0.2297,0.1901,0.2656,0.1794,1.1825,0.1024,-0.2131,0.1405,0.8976,-0.41
1.0326,0.0454,0.1888,0.1418,0.9053,0.1767,-0.8573,0.1538,-0.2626,0.3773,-0.2972,-0.6207,0.6073,0.3939,-1.3889,1.5578,2.4748,2.7628,0.0927,0.677,0.593,-0.1922,0.5846,0.4517,0.3162,-0.0492,0.5776,0.4358,0.7229,0.9121,0.1676,0.2237
0.8435,-0.4624,-0.2789,-0.3513,0.8298,0.2647,-0.1592,0.4369,-0.2916,0.9439,-0.8163,0.2145,-0.012,-0.1062,-0.6716,1.851,2.0531,0.8151,-0.5046,0.3945,0.168,-0.1788,-0.3275,0.8074,-0.1979,-0.5981,-0.3601,-0.2558,0.4091,0.4657,-0.4178,-0.0198
-0.3465,0.0127,-0.8858,-0.2715,1.0029,-0.485,0.4732,0.5485,-0.6609,0.7483,-0.8634,0.4491,-0.077,0.3157,0.4899,2.356,1.7868,-1.3313,-0.506,0.1141,-0.0424,-0.2479,-0.6368,0.6606,-0.6466,-1.0216,-0.2679,-0.9006,-0.285,-0.6907,-0.0434,-0.5747
-0.6593,3.4749,-0.3261,0.2012,0.7171,-1.1721,0.5689,0.4253,-0.5338,-0.0276,-1.1452,0.6993,0.2456,0.3789,1.6987,2.3877,-0.0362,-0.6322,0.1167,0.6081,-0.4818,0.2563,-0.6239,1.4754,-0.6862,0.4026,2.1619,-0.2354,-0.8454,-0.2952,0.4499,-0.6627
-5.4661,6.9324,-1.7185,-0.8277,-1.412,3.4943,0.906,-2.777,-6.102,-3.2699,-0.8781,-1.4908,-0.4032,-0.072,-1.5277,1.2544,-0.9049,0.3494,-1.159,1.1852,-0.8736,-2.5855,-5.4384,-2.1992,-3.2693,-2.3419,-1.6941,-1.1674,-0.4967,-2.0609,-1.9161,-2.1193
-2.408,3.1096,0.4712,0.8363,0.9463,3.8603,0.8731,-0.5395,-1.1262,-0.7368,-0.3895,-0.5095,0.0178,0.6542,0.1033,1.9502,0.4846,0.7451,-0.5399,1.2084,0.5914,-0.5599,-1.8296,0.4445,-0.2006,0.7727,1.5762,1.3905,0.7045,-0.1127,0.2262,0.1364
-0.487,-0.6104,1.5706,0.7322,0.482,5.1165,-1.1657,-0.7318,-0.4266,-0.8545,1.7472,0.5293,-0.4158,-0.7668,-1.0407,1.1852,1.1111,1.5153,-0.2513,0.5718,0.0433,-1.1956,-1.865,-0.1244,-0.5848,-0.5559,-1.9686,-0.1834,0.2523,0.0267,-0.0108,0.0779
