"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
0.9336,1.359,-0.1584,0.8636,-1.6337,-2.5542,-3.3014,0.1633,0.4322,0.1629,-0.4538,-1.3311,-0.2024,1.3283,-0.5058,1.3781,0.8404,-0.0455,-0.8282,-0.9625,0.1646,-0.0498,0.6673,0.6114,1.3026,-0.0203,-1.0261,0.3778,0.7949,-0.2757,-0.2128,0.9665
1.0765,1.4793,-0.1464,0.9737,-1.6906,-2.7569,-3.5238,0.2199,0.477,0.2218,-0.4745,-1.3758,-0.1697,1.4639,-0.4375,1.543,0.9294,-0.0015,-0.7781,-0.9859,0.242,-0.0094,0.7671,0.6814,1.4308,0.0052,-1.0511,0.4587,0.8939,-0.2715,-0.1895,1.0708
1.1898,1.624,-0.1254,1.1107,-1.7884,-3.0292,-3.8525,0.2728,0.5461,0.2859,-0.5395,-1.4548,-0.1124,1.6688,-0.3828,1.6817,1.0641,0.0751,-0.7834,-1.0427,0.2997,0.0466,0.9155,0.8107,1.5648,0.0147,-1.1213,0.5458,1.0168,-0.3025,-0.1803,1.2094
1.2498,1.7485,-0.1009,1.2865,-1.8876,-3.3553,-4.1878,0.348,0.6323,0.3421,-0.6466,-1.5238,-0.025,1.8007,-0.4092,1.7862,1.1335,0.1252,-0.8678,-1.082,0.3286,0.0858,1.0504,0.9505,1.7205,0.0206,-1.2118,0.7096,1.1649,-0.2907,-0.1521,1.3777
1.4341,1.7293,-0.1013,1.3497,-1.8716,-3.4719,-4.0975,0.4926,0.6851,0.3364,-0.5917,-1.5805,-0.1027,1.5524,-0.4913,2.0935,0.9332,-0.163,-0.7213,-1.0309,0.5587,-0.0019,0.9412,0.7914,1.9364,0.0902,-1.1142,0.8951,1.1716,-0.044,-0.1238,1.3872
1.2879,-0.4336,-0.9671,-0.8835,-2.5365,-2.2453,-2.1467,-0.8081,-1.2733,-1.1503,-0.3971,-0.378,-1.2329,-0.5701,-0.871,-1.1985,-2.2852,-1.6736,-1.0843,-2.0988,-0.6473,-1.5952,-0.467,-1.1483,0.7193,-1.4382,-1.3939,-1.1996,-0.3204,-0.7111,-1.7249,-0.6485
1.591,-0.557,0.0835,-0.4492,-0.7774,-0.9575,-2.2017,0.3975,-0.677,-0.4824,0.129,0.8017,-1.5528,-1.6763,-0.5617,1.8302,-0.612,-1.5932,-0.5385,-0.8996,0.4897,-1.0096,-1.1379,-2.4423,1.1813,0.3947,0.7061,-0.6305,-0.036,0.9019,-1.7994,-0.9609
0.5321,-0.3445,0.8227,0.1497,0.7818,0.614,-2.3043,0.9465,-1.171,0.2422,0.0843,0.6099,-0.7579,0.1182,-0.108,4.1058,1.5577,-0.2421,0.1689,-0.0091,0.6446,-0.5247,-0.7039,-1.9728,0.8931,1.5804,2.3733,-1.1017,-0.0951,0.6422,-1.5819,-0.7712
-0.9095,0.0111,1.7467,1.109,1.7543,1.3484,-0.6956,0.6297,-0.9578,0.7278,-1.1299,0.7273,1.4855,1.5193,0.2323,3.7216,0.9617,1.0333,-0.5641,1.9838,1.0565,-0.9064,0.1702,-0.2542,-0.0969,1.3984,2.5951,-0.7719,0.1079,0.5987,-0.9297,0.8374
-0.8247,0.8717,2.2388,0.8059,0.7455,0.9572,0.3348,0.1254,0.1923,0.7823,-1.771,0.5058,1.916,2.2698,0.1183,2.494,-0.3802,0.7489,-0.3682,2.67,1.7332,-1.9946,0.4601,0.0769,-1.4694,-0.0343,0.5375,-0.2709,-0.5599,0.2738,-1.3104,0.9091
