"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
0.5602,1.9426,1.1463,-0.3229,-0.5211,1.5629,1.7447,-1.4705,-0.3606,-0.8323,0.1736,-1.1949,0.0298,-1.4245,2.6871,-0.4475,-1.5721,-2.0433,-0.9352,-1.1223,-1.0722,-0.4243,-2.9733,-0.0817,-2.038,-0.638,-1.8434,-1.1447,1.2375,-0.4664,-1.1433,-0.6279
0.6066,2.0411,1.2535,-0.3295,-0.5568,1.6497,1.8672,-1.5748,-0.3261,-0.897,0.1997,-1.2972,0.0348,-1.504,2.8997,-0.4742,-1.6923,-2.1988,-0.9921,-1.1873,-1.1253,-0.4593,-3.1914,-0.0678,-2.1576,-0.6717,-1.9775,-1.2275,1.3291,-0.5034,-1.2202,-0.6881
0.6316,2.1854,1.3347,-0.3686,-0.6463,1.7549,2.0393,-1.7678,-0.3825,-1.0307,0.186,-1.4901,0.0279,-1.6526,3.0609,-0.5731,-1.8601,-2.3949,-1.1064,-1.3206,-1.2887,-0.5141,-3.5629,-0.0792,-2.374,-0.7674,-2.1745,-1.3556,1.4016,-0.5944,-1.3284,-0.7986
0.6128,2.4637,1.3034,-0.5077,-0.7106,1.9063,2.1946,-1.9435,-0.6101,-1.1404,0.1507,-1.6511,0.0209,-1.8913,3.1098,-0.7501,-1.8639,-2.4947,-1.2383,-1.5198,-1.5865,-0.4719,-3.8752,-0.1122,-2.6536,-0.9409,-2.449,-1.5244,1.3647,-0.6851,-1.4965,-0.8635
0.2373,-1.5277,0.222,-0.8875,-0.4665,1.7392,1.5484,-0.3187,1.2063,-2.0852,1.3011,-0.395,0.3983,-1.2751,2.6511,0.7277,-1.6018,-0.7308,0.1158,0.0751,0.9483,-1.4354,-2.0466,-0.5657,-1.483,-1.3378,-2.0208,-0.7975,1.6906,0.0576,-1.4669,-0.9626
0.4411,0.1096,0.2985,-0.8904,0.05,1.2909,0.4313,0.8941,0.6577,-1.4162,1.1796,0.0658,0.302,-1.4045,2.3012,1.0328,-1.3837,-0.9871,0.8014,0.0394,1.0431,-1.3348,-0.2594,-0.3442,-0.9792,-1.1241,-1.8584,-1.251,1.2678,0.2893,-1.5503,-0.358
0.4843,-0.1969,1.1443,-0.0914,0.8654,0.129,-1.191,1.1729,0.6527,-0.0834,0.3863,1.1552,-0.3453,-0.7534,2.4381,1.0749,0.4295,-0.6183,1.1314,0.142,1.1199,-0.6863,2.4118,0.5184,-0.008,0.0843,-1.2668,-0.7331,0.9837,0.96,-0.9099,1.0016
0.5992,-0.7811,1.3549,0.8177,1.0615,-0.7887,-1.7665,0.908,0.2644,0.6764,0.035,1.3721,-1.1716,-0.4408,2.262,0.1142,2.2863,0.2019,0.4949,0.0832,-0.2102,0.4971,2.3486,1.3876,0.4565,0.6047,-0.5831,0.1299,1.1426,0.7797,-0.4153,0.8189
-0.5869,-1.8355,0.294,0.3864,0.4161,-1.516,-1.3436,0.8873,-0.7816,-0.0329,-0.0014,-0.8024,-0.7127,0.1952,1.1609,-0.3837,0.6612,-1.6212,-1.1904,-0.3495,-1.3418,0.2077,-0.2231,-0.0435,-0.5768,-0.3766,-0.2654,-0.2869,0.288,-0.1683,-0.7704,-1.0701
-1.7379,-2.8918,-0.7278,-0.3715,0.1314,-1.6205,-1.0052,0.3186,-1.697,-1.146,-0.0445,-2.5799,0.177,1.3761,0.2161,-0.3024,-1.0949,-2.6143,-1.7749,-1.1241,-0.9928,-0.6125,-1.2531,-1.6074,-1.2463,-1.6285,-0.3114,-1.1763,-1.5456,-1.1274,-0.7689,-1.8408
