"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
0.4351,2.0912,0.6239,0.1528,-0.3378,-0.8215,-1.6681,0.1435,-0.4907,1.2424,-0.5529,0.4212,1.3929,0.4764,-1.2051,0.9596,1.9151,1.2788,1.038,0.6818,0.486,3.0348,0.2623,0.537,1.4269,-0.2245,0.2557,0.9382,-0.1811,-0.3524,0.2546,1.5853
0.4706,2.2131,0.6541,0.159,-0.36,-0.8974,-1.7906,0.1422,-0.5047,1.3136,-0.6032,0.4581,1.4971,0.4868,-1.2864,1.0108,2.0186,1.3488,1.0899,0.7261,0.5191,3.2112,0.2645,0.603,1.5104,-0.2362,0.2636,0.9831,-0.2165,-0.4022,0.2669,1.6534
0.4927,2.3462,0.6797,0.1701,-0.3874,-0.9782,-1.9249,0.13,-0.5287,1.3825,-0.6583,0.4971,1.6105,0.5007,-1.3822,1.0739,2.116,1.4213,1.1311,0.7753,0.5434,3.4134,0.2607,0.6866,1.5979,-0.2481,0.2775,1.0312,-0.2548,-0.4461,0.2741,1.7253
0.4823,2.5129,0.6988,0.1897,-0.4366,-1.033,-2.0923,0.1162,-0.589,1.4292,-0.7429,0.5247,1.7489,0.5491,-1.5555,1.1787,2.2459,1.5242,1.1907,0.8843,0.5595,3.7299,0.2619,0.7897,1.7346,-0.2627,0.334,1.1178,-0.281,-0.4562,0.2788,1.8387
0.489,2.7029,0.758,0.2334,-0.4809,-1.1045,-2.2561,0.1056,-0.6429,1.5047,-0.8237,0.5732,1.9143,0.6008,-1.7291,1.324,2.4313,1.6352,1.2806,1.0036,0.5976,4.0881,0.2789,0.911,1.8842,-0.2719,0.3968,1.2109,-0.2946,-0.4416,0.2808,1.9865
0.7514,2.7769,0.9553,0.2598,-0.4001,-1.2871,-2.2539,0.1938,-0.4797,1.7524,-0.7727,0.704,2.02,0.5222,-1.554,1.3309,2.6867,1.6622,1.4687,0.9185,0.7926,3.988,0.355,0.8942,1.8928,-0.2668,0.2885,1.1653,-0.3237,-0.579,0.3347,2.0361
0.4648,-0.5612,0.5199,-0.3308,-0.6797,-1.9044,-1.6367,-0.2117,0.2596,0.9829,-0.1788,0.5153,1.1652,-0.9165,-0.4119,-0.9869,-1.5827,-0.1258,-0.794,-0.6818,0.3489,0.2722,-0.7379,-0.2875,-0.2238,-1.066,-1.166,-1.3492,-1.516,-1.4545,-0.7154,-0.2104
2.2436,1.7244,1.6085,-1.5274,0.4261,-2.5731,-1.6221,0.598,0.8846,0.9891,1.0041,0.6614,0.7566,-0.7312,-0.0149,-0.7324,1.7324,1.4596,-0.156,-1.0029,1.1745,0.3615,-0.2438,-0.9534,0.4008,-0.2347,-1.3675,-0.2288,-3.0023,-2.2865,1.1165,1.2279
2.1752,0.3149,-0.578,-1.4387,0.7567,-2.6421,-1.0746,0.2249,1.6299,2.1753,0.6757,0.8967,-0.1561,-1.7264,2.8884,-3.001,-1.5148,-0.1533,-0.8438,-3.0975,0.5045,-4.4128,-0.7974,-0.5884,-1.3052,-0.3723,-2.6153,-1.5274,-2.0831,-4.5846,0.7774,-2.1144
0.9263,4.2999,-1.5268,-1.8416,0.1752,-0.989,-1.5282,1.3464,2.5164,0.9824,0.9868,1.9321,0.9603,1.0562,1.567,-0.9739,1.7213,1.4975,-0.4237,0.2908,1.0548,0.3602,0.1172,1.4422,0.7512,0.5638,-0.2167,0.5736,-4.1087,-3.5717,1.1493,-0.7129
