"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
2.4447,1.1901,-1.4487,-0.817,1.5388,2.3239,0.514,1.3367,1.3111,3.5047,1.9761,0.1469,7.0639,2.8819,3.8711,1.5614,4.2715,1.0796,0.8344,7.4513,2.1162,2.2713,3.5974,3.0135,2.1807,0.4926,0.0586,1.0303,-0.4903,-0.7858,2.3048,1.4852
2.6368,1.2431,-1.5504,-0.8806,1.6321,2.4457,0.4742,1.4125,1.3422,3.7358,2.1345,0.1334,7.5596,3.0408,4.1692,1.6967,4.5504,1.1292,0.916,8.0472,2.2444,2.419,3.8448,3.2195,2.3281,0.4966,0.083,1.0751,-0.5026,-0.8603,2.4521,1.5855
2.8448,1.2798,-1.7058,-0.9685,1.7167,2.583,0.4248,1.4938,1.38,3.9976,2.3145,0.1014,8.1285,3.25,4.5053,1.8233,4.8791,1.184,0.9893,8.7033,2.3831,2.5832,4.1379,3.4354,2.4814,0.4769,0.071,1.1059,-0.5557,-0.9792,2.6348,1.6997
3.0783,1.3107,-1.9169,-1.0778,1.8024,2.7446,0.3687,1.5875,1.429,4.3048,2.5242,0.0514,8.7798,3.5148,4.8759,1.9517,5.2756,1.26,1.0483,9.4358,2.5343,2.775,4.4835,3.6728,2.6582,0.4431,0.0276,1.1288,-0.6443,-1.1389,2.8565,1.8331
3.3385,1.498,-1.9396,-1.1114,1.9682,2.8159,0.2656,1.7118,1.46,4.5463,2.7095,0.1431,9.2201,3.7056,5.2265,2.1983,5.6758,1.4088,1.2204,10.1383,2.6939,2.9676,4.7914,3.9897,2.9267,0.5683,0.1564,1.2425,-0.4753,-1.0926,3.0353,2.0169
1.6132,0.3808,-0.1515,0.07,0.2395,0.8688,-0.9108,1.2245,-0.2401,1.2586,1.6817,0.2348,3.1152,1.9919,-0.2459,1.9418,3.256,-0.1052,1.0703,2.5625,0.9169,0.647,2.7603,1.9581,1.6782,-0.501,0.7312,-0.1159,-0.0013,-0.2853,0.8369,0.9327
3.278,3.0051,1.422,0.1812,2.8761,1.6993,0.0302,1.6485,0.7396,3.1189,1.9862,1.6714,6.1422,1.0389,4.4256,3.5929,3.7245,1.3054,2.6972,9.0722,2.5004,2.379,3.0194,4.3958,3.2357,2.339,2.9726,2.4503,2.8613,1.8216,1.437,1.8925
-0.3757,-0.3916,3.4208,0.2302,0.7024,-1.4159,-1.8441,0.0554,-0.1431,-0.4221,-0.1783,-0.1107,-2.9602,-1.9998,2.3322,2.0544,-1.0389,-1.0984,0.7495,2.5004,0.2368,-1.3407,-1.4142,0.1574,0.2899,-1.5501,0.3259,-1.2308,0.2406,0.8706,-1.9213,-1.6583
-0.4917,-0.5797,3.2811,0.6455,1.05,-0.667,-0.5444,-0.2376,-0.086,-0.234,0.3434,-0.9653,-2.6846,-1.9005,3.5347,2.0048,-2.7036,-1.5773,0.4672,3.143,0.2057,-1.3465,-1.9223,-0.176,-1.2948,-2.1935,0.1901,-0.9353,-0.8868,-0.5289,-2.4408,-2.2376
0.2327,-0.5515,2.2975,0.8773,0.4966,-0.7317,-0.5928,-0.1229,-0.3041,-0.5825,1.0682,-1.1055,-2.1602,-0.3396,5.2718,1.7951,-1.8778,-2.0875,1.2349,3.6038,0.0586,-0.615,-0.4842,0.6905,-1.0972,-1.7963,0.6366,-0.7523,-0.8822,-1.5959,-1.9629,-1.9578
-0.0189,-1.2184,2.0362,1.1294,-0.4213,-0.2946,-0.6015,-0.4542,-1.4034,-1.3841,0.805,-1.094,-1.7429,-0.7249,4.6584,0.1083,-1.3539,-2.4813,1.0687,2.3937,-0.798,-0.3596,0.3682,0.5095,-0.5413,-1.0056,1.1263,-0.8095,-0.2095,-1.9479,-2.2615,-1.1511
-1.0895,-2.7948,1.4197,0.5876,-0.989,-1.4616,-1.6265,-1.573,-2.5437,-2.2481,-0.4579,-0.5197,-3.5365,-2.7707,2.5733,-2.1243,-3.1742,-2.8202,-0.2521,-0.2245,-2.4469,-1.5032,-1.0815,-1.4805,-1.5191,-1.3396,-0.2413,-0.5077,-0.0041,-1.2435,-2.515,-0.4102
-1.5067,-2.449,0.4426,0.4831,-0.1725,-3.1435,-2.1404,-2.24,-2.3141,-2.1513,-1.1384,0.2233,-4.0082,-2.8368,2.1234,-2.3621,-3.7776,-1.2875,-1.2755,-0.4762,-3.7211,-2.3687,-2.4673,-1.7857,-1.9796,-1.5402,-1.3924,-0.4241,-0.4249,-0.1057,-1.5484,0.5286
-2.5306,-0.4495,0.6591,1.3797,-0.0591,-2.794,-0.7779,-1.8245,-0.7686,-2.1669,-1.5279,0.1727,-3.5779,-0.5661,2.5654,-1.9282,-2.4664,-0.7615,-0.0359,0.2166,-2.4835,-2.3534,-2.3098,-1.7112,-1.6627,-0.352,-0.5806,-0.7035,0.0064,-0.0741,-1.5582,1.0996
-2.0365,0.7673,1.9657,1.9209,0.262,-1.3029,-0.4471,-0.6228,1.0999,-1.239,-0.7292,-0.6201,-2.899,0.3884,2.1991,-0.8968,-1.1588,-1.4278,1.6576,1.0319,-0.0339,-1.2487,-1.533,-1.2452,-0.4764,-0.2149,0.5489,-0.6859,0.5589,-0.9016,-1.9157,0.0907
-0.7266,0.9092,2.7502,1.7959,0.4887,0.6199,-0.0988,0.1462,1.3557,-0.3641,0.2885,-0.4857,-2.2578,-1.5975,2.2876,0.593,-0.847,-1.8937,1.4943,1.3491,0.3529,-0.2915,-0.1642,-1.3496,0.9958,-0.4437,1.211,-0.1291,2.609,-0.528,-3.0376,-1.1039
0.1694,0.8119,1.9225,1.5709,-0.3647,2.5186,0.5399,0.2752,0.9002,-0.1375,-0.0333,0.392,-2.9588,-3.0403,2.5129,2.7627,0.0306,-2.0921,0.5254,0.7748,0.3559,0.0519,0.6793,-2.7312,1.0975,-0.1083,1.2633,0.4745,4.6966,0.356,-3.3187,-1.0644
-0.0582,1.0866,1.2346,1.3615,-0.0898,3.7574,1.6078,0.9717,0.0302,0.9654,-0.0972,0.4274,-1.7561,-2.5029,1.6844,2.3608,1.3496,-0.468,0.2787,2.0606,2.2623,1.7551,1.801,-1.6258,1.4194,1.4478,1.1685,1.1721,3.8429,1.1595,-1.8859,0.9508
-0.2896,0.9103,0.9434,0.9366,0.7173,3.5163,2.5493,1.9137,-0.446,2.4187,-0.2043,-0.5567,0.1038,-0.7462,0.7906,0.4864,1.5258,1.567,0.4443,3.1386,3.6353,3.2415,2.4411,0.5158,1.8661,3.3164,0.6734,1.715,2.7346,2.0331,-0.4596,3.2256
-1.0481,0.5203,1.8658,1.1953,-0.3428,0.6767,0.1369,1.6273,-1.8089,-0.2654,0.1164,0.071,-9.6822,0.4003,-4.6009,-0.0012,1.8206,2.6136,-1.2155,-2.9723,0.5716,-1.4131,0.588,-0.6302,2.3383,1.7029,2.2701,-1.3185,5.4235,2.1216,-1.3132,4.6935
