"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
0.1842,1.1133,0.9564,0.4393,-0.4472,1.5844,1.5905,-0.0791,0.5668,0.9733,1.0842,0.1541,1.6746,-0.7185,1.5293,1.2311,-0.311,-0.734,2.9801,2.2056,0.4446,1.1558,-0.1112,1.0292,1.766,1.1776,0.7116,2.4162,0.3754,1.1696,0.7214,0.2505
0.1433,1.0551,0.9517,0.4452,-0.5231,1.5875,1.6119,-0.1418,0.5841,1.0106,1.1191,0.1211,1.7056,-0.8068,1.6059,1.2643,-0.3845,-0.8279,3.1426,2.3148,0.425,1.2186,-0.1632,1.1082,1.8419,1.2269,0.6981,2.5251,0.3757,1.1832,0.7464,0.2523
0.0921,0.9548,0.9373,0.4547,-0.6398,1.6031,1.6317,-0.221,0.6082,1.0747,1.1525,0.0313,1.7925,-0.93,1.6996,1.3113,-0.4984,-0.9932,3.3644,2.473,0.3994,1.3203,-0.2426,1.1975,1.9593,1.3004,0.6957,2.6958,0.3831,1.2297,0.8122,0.2434
0.0315,0.8972,0.9436,0.4583,-0.734,1.6258,1.6022,-0.2937,0.6509,1.1509,1.1939,0.0312,1.8647,-1.0863,1.8312,1.3616,-0.6183,-1.1256,3.5972,2.6426,0.3395,1.4165,-0.312,1.2988,2.0944,1.3637,0.6825,2.8873,0.3781,1.2823,0.8656,0.2442
0.0488,1.1622,0.984,0.4381,-0.5988,1.5331,1.3841,-0.2599,0.7588,1.1363,1.2302,0.474,1.6562,-1.0766,1.839,1.3071,-0.4945,-0.9439,3.547,2.6422,0.3526,1.3804,-0.2475,1.3511,2.0731,1.3533,0.628,2.7725,0.3045,1.1289,0.7103,0.3839
0.0525,1.5762,-0.8938,0.2815,-0.8169,0.981,-1.6921,0.0179,0.1125,-0.1284,-0.3995,-0.4858,0.6452,-1.0792,-0.7285,0.8359,-0.6308,-0.7595,0.4183,0.8499,0.1622,0.498,0.7676,-0.256,0.9688,-0.0789,0.0473,-1.1035,-0.6159,0.4146,-0.5307,0.22
0.2459,0.566,0.413,-0.1153,-0.0048,-0.4703,-0.6863,-0.553,0.0256,-1.0655,0.2302,0.3422,-0.4345,-0.0196,0.1201,0.458,-0.5318,-0.8868,-0.7052,0.0702,0.5943,-0.9224,0.1857,-0.702,-1.0544,-0.081,-0.3404,-1.6389,-1.0536,-0.1845,-1.392,0.3009
0.0983,-1.291,1.3316,0.2245,-0.1429,1.1834,1.8128,-0.271,-0.0729,-1.3275,0.5856,0.0238,-1.0122,0.2557,1.1661,1.0621,-0.8454,-1.2085,0.3334,-0.4671,1.5877,-1.7733,-0.2367,-0.2517,-1.5918,-0.2461,-0.3115,-1.7608,0.4251,0.1422,-0.9608,-0.2394
-0.221,-3.8115,-0.022,-0.1663,-0.0887,2.1631,3.0913,-0.2005,-0.9256,-1.9701,0.3982,-0.2613,-2.4395,-0.9847,1.8865,1.0319,-2.3398,-1.1769,1.8475,-0.3547,0.8248,-2.3921,0.3674,-0.5145,-0.527,-1.2318,-0.9765,-1.452,1.5406,0.275,-0.2028,-0.7892
0.1812,-2.0593,-1.1443,-0.2313,0.2568,2.2578,2.2192,0.486,0.0526,-1.3936,-0.0661,0.7636,-0.5132,0.3078,0.8396,0.9744,-0.505,1.619,1.5589,0.7882,-0.1683,-1.3303,1.1636,-0.1105,1.0246,-0.8344,-0.4628,-1.5159,2.0972,0.2974,1.0574,-0.0709
