"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
-0.8342,1.6344,2.0038,1.7269,1.5751,0.1414,-0.8073,2.7491,2.939,3.8486,0.5304,0.6195,-0.4217,-1.5515,0.5598,4.9799,3.462,1.3649,0.1191,1.0305,0.8731,3.7294,-0.3346,-1.152,0.9124,2.0598,1.6735,3.0212,1.0717,0.6258,-1.3629,-0.0232
-0.8217,1.5687,2.2158,1.8661,1.6412,0.2087,-0.8307,2.8684,3.0622,4.1532,0.8398,0.6333,-0.5066,-1.9049,0.5523,5.2222,3.5334,1.4223,0.216,1.0614,0.8838,3.8741,-0.3727,-1.3137,0.8101,2.0995,1.7175,3.1353,1.2752,0.6823,-1.5059,-0.0061
-0.8489,1.5395,2.437,2.0233,1.723,0.392,-0.7733,3.0266,3.2097,4.5188,1.1582,0.6126,-0.6078,-2.2858,0.561,5.4828,3.6008,1.4782,0.3158,1.1099,0.8934,4.0379,-0.4657,-1.4743,0.6534,2.1725,1.7095,3.3292,1.5289,0.7191,-1.7162,-0.0478
-0.8943,1.5392,2.6768,2.1946,1.7777,0.5277,-0.804,3.1982,3.3805,4.885,1.4531,0.6018,-0.7279,-2.6507,0.5505,5.8298,3.7475,1.5584,0.3539,1.1659,0.9237,4.2417,-0.552,-1.6247,0.4855,2.2509,1.7629,3.5174,1.7338,0.7722,-1.9267,-0.0611
-0.7135,1.4832,2.9054,2.2486,1.7738,0.1977,-1.2557,3.2413,3.3658,5.1049,1.7666,0.6984,-0.8086,-2.9553,0.4136,6.1069,4.0257,1.8082,0.3635,1.1425,0.9612,4.4161,-0.3632,-1.9181,0.5542,2.2587,2.0502,3.1973,1.7673,0.9886,-1.7883,0.2942
-1.5818,-0.2149,0.5036,1.0348,-3.5529,-0.7472,-1.9767,1.4334,2.4859,4.3351,1.0082,-1.7338,-0.8038,-3.9685,-0.2809,1.1564,0.5239,0.7067,-1.0807,0.042,0.4521,2.7864,-1.2986,-1.1764,-0.1798,-0.9856,-0.3015,-1.6949,0.0843,-0.4723,-2.665,-0.1021
0.303,-0.7932,1.138,1.1057,-1.084,-2.1869,-2.0075,0.772,1.5016,2.1043,4.3627,-1.6496,-0.4972,-3.1605,-0.9976,0.7916,0.9113,1.1687,0.28,-0.3271,9e-04,2.515,0.1259,-1.69,1.5009,-1.5223,0.9224,-1.2706,-1.7735,0.2929,-0.2053,1.8151
1.3973,-0.9063,1.7881,1.0034,2.3962,-3.3011,-1.1317,-0.166,1.6082,1.2855,3.1852,-0.3031,-0.0655,-3.1652,-0.576,1.517,1.0326,-0.3064,3.474,-0.2865,-0.4484,1.1131,1.3262,-2.2198,3.2274,-0.3813,2.3013,1.2387,0.269,1.3675,0.6723,2.2154
1.0037,-1.5105,1.0945,-0.0354,2.875,-3.6393,-1.2878,-1.4847,1.1915,-0.2243,0.9326,1.6852,0.1108,-3.1728,0.608,2.2598,0.0876,-1.9199,3.6314,0.0089,-0.5142,-1.032,0.7189,-1.2596,2.4909,0.3047,2.9442,1.2425,3.0307,1.8944,0.3745,0.549
1.7254,-1.06,-1.1353,-2.5179,2.653,-1.1246,-0.364,-1.5651,-3.29,-0.9146,1.4331,1.9056,-0.0982,-1.8658,1.2851,0.6656,-1.9889,-0.1735,1.2684,0.2773,-0.5366,-1.7726,-1.6148,-1.6887,0.9344,1.5887,-0.0481,-3.4013,3.719,1.2321,1.0051,-1.6116
