"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
-0.2414,0.9054,0.2573,0.386,-0.5126,1.6401,-0.2486,0.1446,0.8313,-0.3725,-1.2971,1.2146,0.4609,-0.0419,0.0217,0.4047,0.4326,1.6725,-0.5057,0.4745,0.2224,0.4941,-1.7583,0.9023,0.7212,2.1369,1.1128,0.4186,1.7261,0.5787,0.6551,0.834
-0.2728,0.9343,0.2361,0.3913,-0.5747,1.6923,-0.2941,0.1174,0.8595,-0.4282,-1.4033,1.2863,0.4822,-0.0675,-0.0112,0.3985,0.4042,1.7789,-0.5717,0.4717,0.2042,0.4925,-1.9062,0.912,0.7486,2.2283,1.1637,0.4397,1.8325,0.6044,0.6853,0.8903
-0.2718,1.0141,0.2315,0.4266,-0.6434,1.7986,-0.3214,0.1346,0.9409,-0.4929,-1.5475,1.3983,0.4998,-0.1138,-0.0184,0.4044,0.4037,1.9546,-0.6482,0.4858,0.2241,0.5232,-2.0891,0.9483,0.8281,2.3944,1.2651,0.4976,2.0053,0.7037,0.7138,0.9725
-0.281,1.0966,0.218,0.463,-0.7059,2.0215,-0.3388,0.1753,1.0121,-0.548,-1.7147,1.5395,0.5308,-0.1793,-0.039,0.425,0.3596,2.1194,-0.7311,0.5018,0.2615,0.5819,-2.2862,1.0042,0.9289,2.6207,1.3896,0.552,2.2132,0.7769,0.76,1.0326
-0.552,0.9539,0.2068,0.339,-0.7364,2.1679,-0.3732,-0.0791,0.7142,-0.6025,-1.8045,1.5067,0.552,-0.201,-0.2908,0.3273,0.0728,1.9546,-0.8309,0.3635,0.0411,0.4266,-2.3742,0.9702,0.7269,2.6014,1.271,0.4228,2.1332,0.4212,0.7802,0.9538
0.0364,-0.0045,-0.5648,-0.053,-1.048,0.3901,-0.7504,-1.6958,-0.6663,-1.1206,-0.1665,-0.0668,-0.5252,-0.3062,-1.4584,-0.2492,-1.4414,0.3699,-0.528,-0.0155,-0.2947,-0.4976,-0.7647,-0.0085,0.2562,0.7819,0.1551,0.3253,0.564,-0.787,0.5789,0.6468
0.0676,-0.2916,1.1369,-0.3536,0.0066,2.1634,-0.3416,-2.0587,-1.2742,-0.5887,0.9233,-0.0212,0.9759,2.1798,0.0949,1.4598,0.0968,-0.0375,1.7635,1.0583,-0.4884,-0.9087,1.1103,0.0186,-0.2986,0.3011,-0.1963,0.4296,-1.1561,0.5339,1.5471,0.0137
0.1238,-0.2176,1.1069,-0.3541,-0.1669,0.5113,-1.1397,-1.7973,-0.2155,0.0532,1.649,0.3608,2.1775,2.7585,1.5216,2.4022,2.3566,-0.2161,2.3543,1.3993,0.2377,0.0649,1.545,-0.1589,-0.1864,-1.0585,-0.5291,0.0557,-2.2518,0.7959,0.9555,0.3247
0.0308,-0.827,-0.5349,0.0287,-0.71,-1.7091,-2.3492,-1.3274,1.3102,0.3741,1.0193,0.9243,1.7557,1.9424,1.4663,1.8638,2.0615,-0.7925,0.9561,0.7919,0.4749,1.2057,0.4596,-0.6306,0.0221,-2.7376,-1.4031,-0.7224,-2.2788,-1.0118,-0.1792,0.4826
-1.0346,-1.3946,-1.3458,0.0026,-0.0681,-2.4643,-2.6233,-2.1115,1.4174,-0.1932,-0.7116,0.5234,-0.1378,0.3113,0.3211,-0.3997,-0.8108,-0.4722,-0.7296,-1.1098,0.0663,1.2769,-0.5721,-0.8374,-0.8939,-3.1861,-2.1483,-1.1024,-1.3177,-3.4786,-1.6351,-0.8236
-1.4387,-1.2323,-0.5804,-0.7468,1.3606,-0.7582,-1.6199,-1.7432,0.3879,-0.8165,-1.0183,-0.121,-0.5915,-1.0181,0.3253,-1.3938,-2.389,0.4732,-0.3019,-1.839,0.1877,0.9054,-0.525,-0.56,-1.271,-1.6336,-0.5491,-0.4365,0.4571,-3.0932,-1.4004,-1.5289
-1.2564,-0.3149,0.0201,-1.7254,1.6632,0.7946,0.1883,-1.2727,-0.9253,-1.3387,-0.3016,-0.9913,-0.2935,-0.8882,0.9869,-0.679,-2.121,0.3453,0.8034,-0.8309,0.6498,0.6613,0.499,-0.1493,-0.7198,0.5686,0.8856,0.3879,0.3186,-1.7744,-0.6239,-0.6905
-2.0742,-1.2312,-0.545,-2.1319,0.9524,-0.5472,0.321,-0.8376,-1.7573,-0.868,-0.813,-2.4489,-1.0057,-0.7355,0.3912,-0.7252,-2.2471,-1.0712,0.4,-0.4994,1.0193,0.2637,0.5679,-0.1,-0.4094,0.7432,0.3155,0.2683,-0.7689,-1.2597,-0.7668,-0.3195
-2.6218,-3.0657,-0.2805,-1.8624,0.5206,0.3329,1.0045,0.5578,-2.9771,-0.3121,-2.2821,-2.958,-2.3597,-1.419,-1.6403,-1.7233,-3.2652,-2.1712,-0.4449,-1.6771,-0.6872,-0.9356,0.2836,-1.4546,-0.0156,-0.2655,-0.9773,0.6176,-1.2513,0.3432,-1.8983,-0.836
1.6603,5.3361,2.5908,1.1808,2.9885,8.6537,6.0777,5.0698,0.1787,4.2744,-1.7617,-2.6215,4.6178,2.3854,3.1087,5.8442,5.2851,0.3224,2.4024,3.0523,4.9074,4.0079,4.3006,4.6519,3.731,4.4173,3.9955,3.7607,0.796,6.4138,1.0562,2.3946
1.9605,5.6993,2.8019,1.3782,2.7087,9.4491,6.1581,5.0586,0.6093,3.8992,-1.1997,-1.3923,5.2566,2.2794,2.6971,5.5441,5.4721,0.3049,2.788,3.008,4.8137,3.556,4.4542,4.8083,3.8227,3.6554,3.3282,3.49,0.7921,5.917,0.9593,2.6295
2.3487,6.2856,3.197,1.6159,2.4963,10.2103,6.0358,4.8897,1.2813,3.3878,-0.4513,-0.0268,5.9517,2.1494,2.3054,5.2035,5.7271,0.2779,3.2877,3.0415,4.8152,3.0167,4.6056,5.1498,3.7838,2.9381,2.6942,3.1648,0.8604,5.2118,1.0493,2.9996
2.7784,6.9697,3.6246,1.8808,2.3208,11.1194,5.9791,4.8202,2.0215,2.9471,0.314,1.3299,6.7272,2.066,1.9711,4.9363,6.0726,0.2595,3.8572,3.1414,4.9085,2.5218,4.8138,5.6131,3.8043,2.2734,2.1047,2.8501,0.9411,4.5972,1.1918,3.4293
3.0465,7.2494,3.6738,1.886,1.9861,11.5578,5.7035,4.6672,2.5542,2.4072,0.89,2.4085,7.0929,1.8204,1.6114,4.2446,6.0147,0.2842,4.2006,2.9248,4.7524,1.9626,4.7743,5.8851,3.7695,1.5395,1.4196,2.2843,0.8603,3.7906,1.0992,3.6072
1.4281,3.5411,0.8361,0.6669,0.2222,3.9428,2.4743,2.2352,1.0777,0.2907,1.0947,1.4568,1.9395,0.1374,1.634,0.8617,1.0921,-0.404,1.8803,0.6315,0.8943,-0.4132,2.7198,2.5103,1.1786,-0.8654,0.3041,0.0734,0.1375,2.4891,0.1712,1.77
0.7454,2.4071,0.1037,-0.2477,-0.208,1.6878,0.9046,2.4859,1.1265,0.8131,0.3415,0.3233,2.7203,0.8053,2.744,0.9856,1.9338,0.1542,1.0961,0.6486,1.2467,0.8166,1.0445,2.4612,1.5967,-0.2798,-0.0075,-0.9417,-0.6255,0.8365,0.0581,0.97
-1.9011,-5.6076,-4.5687,-4.0591,-3.4515,-8.5804,-5.6274,-3.2982,-3.3453,-3.9065,-2.3337,-2.0772,-3.9718,-2.679,-2.3299,-7.1739,-5.891,-2.8086,-3.3903,-4.3617,-3.4066,-3.8167,-3.4193,-3.929,-2.7604,-4.7084,-4.6958,-3.8563,-3.2332,-5.8988,-3.601,-2.8311
0.364,0.8563,-1.3347,-0.7186,-0.9031,-4.1526,-3.7188,-0.8333,-0.2392,-0.2059,-2.1174,-0.4555,-0.1049,0.1098,0.8182,-0.2078,0.6016,-0.4321,-1.7717,-0.3799,0.471,-0.0545,-1.528,-1.0587,-1.5895,0.0196,-0.2109,-0.4286,-1.2667,-1.3556,0.3624,-1.7505
0.6451,-0.5539,-1.3566,-0.0317,-0.7772,-3.3759,-2.285,-1.3032,-5e-04,-0.2601,-1.4156,0.6996,-1.3306,-0.0725,-0.0401,-0.7015,-0.4209,-1.2935,-1.4554,-1.5978,0.2919,-0.3255,-1.7882,-2.0775,-1.5981,-0.6277,-0.3644,-1.1418,-1.923,-2.5144,0.3836,-2.2479
2.392,-1.297,-1.9417,0.24,-2.0712,-4.8135,-1.5374,-0.6383,1.0413,0.8471,0.6408,0.3976,-2.544,0.3623,-0.1234,-0.6851,-1.8165,-2.59,-0.4244,-0.6853,0.6091,0.1303,-0.5771,-1.4888,-2.0226,-0.2528,-0.9665,-2.3901,-3.115,-3.3941,0.2681,-0.7054
2.3209,-3.5886,-0.7509,0.7346,-2.3182,-9.0761,-2.9812,-0.198,1.5926,2.4583,3.3419,0.3055,-2.1406,1.5012,0.6549,0.3589,-2.017,-2.229,0.2094,0.0453,1.2244,0.1654,1.8077,-1.5601,-1.8912,-1.2293,-1.4204,-1.7046,-2.8022,-3.4918,1.9792,0.728
2.4593,-1.3928,0.1227,1.0082,-1.4368,-5.5079,-1.8278,0.4405,2.1506,3.0859,2.9089,0.3468,-0.2764,1.6941,1.7175,2.0156,0.2841,-0.8089,1.5347,1.6447,3.0564,1.2029,2.2864,0.0516,-1.3267,0.7167,-0.2178,-1.2118,-1.9006,-1.8737,2.1741,0.6144
2.2297,0.7735,0.8556,1.1982,-0.3883,-1.7039,-0.5948,0.7005,2.4037,3.4401,2.1195,0.4136,1.4528,1.6203,2.5903,3.5387,2.597,0.8517,2.6812,2.9653,4.737,2.0457,2.365,1.3381,-0.8609,2.6221,1.0804,-0.7929,-0.9118,-0.1894,2.2501,0.0623
2.09,3.0652,1.6201,1.4752,0.6931,2.2447,0.6835,1.0671,2.7698,3.9192,1.4153,0.5451,3.2877,1.5925,3.5597,5.2039,5.0311,2.585,3.9324,4.3759,6.5462,2.9825,2.5588,2.6899,-0.2887,4.6145,2.4807,-0.3208,0.0789,1.5731,2.4168,-0.4835
1.925,5.0225,2.1393,1.6793,1.5801,5.5819,1.6419,1.5309,3.0648,4.3185,0.8915,0.7829,4.9251,1.5336,4.5496,6.4784,6.9126,3.9775,5.0109,5.6508,8.0992,3.7954,2.7967,3.8342,0.3201,6.1685,3.5698,0.1271,0.8272,2.8772,2.3792,-0.8925
-0.2165,2.2705,1.2007,0.436,0.2198,-0.0777,-0.7416,0.0868,0.5755,2.1678,1.6231,0.209,2.5119,-0.2187,2.6755,4.1087,3.695,2.9259,2.5075,3.258,4.038,-0.0089,1.1388,2.3578,-1.1905,2.392,1.8211,-0.0941,0.6313,1.3453,1.4502,-0.7082
0.2187,1.7003,1.6441,0.8241,0.8326,-0.5662,-0.4728,1.0191,-0.0394,0.9437,2.2514,1.2351,1.6753,1.3226,3.8913,2.5685,2.1227,2.6743,2.3838,3.8151,2.6989,-0.3491,1.7389,1.2812,0.1205,0.6191,1.0269,0.9397,1.3601,2.7667,1.577,0.4963
0.0876,0.5786,1.85,0.8682,1.4643,-0.2026,0.7774,0.195,-0.3606,-0.2543,1.3735,1.7136,0.4484,1.5976,2.674,1.7614,1.8345,1.3771,1.6305,2.6826,1.7554,0.9918,1.5048,0.283,0.6237,-0.1121,0.047,0.8842,1.6772,2.3705,0.8519,0.0731
-0.3831,-0.3675,1.0591,0.442,1.7541,-0.8033,1.0477,-0.7469,0.2303,-0.4846,-0.1307,1.2205,-0.1105,1.0224,1.0537,1.1989,2.3843,-0.4361,0.6124,1.6844,0.9689,2.1054,0.1606,0.1837,0.5708,0.3117,-0.0209,0.427,1.8239,0.8098,0.2358,-1.511
-0.8779,-0.851,0.7264,0.2682,2.3219,1.2223,1.4268,-0.6214,0.1787,0.0589,-0.5934,0.6471,0.6989,0.2907,0.3295,1.2751,2.2967,-1.0248,0.2555,1.3547,1.4837,1.9882,-0.5753,0.6688,0.4973,1.461,0.5647,0.8071,2.2224,0.7729,-1.0194,-1.6545
-2.0164,-1.2902,1.5534,0.2678,1.6111,4.4673,2.2401,-0.36,-0.4405,-0.1518,-0.4018,0.1776,-0.1808,-0.6087,-0.6443,0.3835,0.7198,-0.8315,0.3918,0.8057,1.1238,0.5023,-0.2658,1.7218,-0.3088,2.1699,1.1372,1.0094,1.989,1.5412,-1.6244,-1.0107
-2.2533,-0.183,1.7193,0.5734,0.4921,3.5197,2.0122,-0.2755,-0.9373,-1.2335,0.3983,-0.5893,-2.6576,-2.1591,-1.0062,-1.08,-1.9446,-0.8621,1.139,0.8375,-0.7252,-1.4012,-0.2112,2.0079,-1.3903,1.2646,0.9826,0.7359,1.1946,1.2622,-0.7896,0.1433
-0.3483,0.2435,1.1463,0.5688,-0.0784,1.5538,1.0667,0.5489,-0.5593,-0.4022,0.724,-0.7566,-2.8704,-2.5333,-0.7402,-1.9118,-2.3502,-0.5001,1.2031,0.8448,-1.9999,-2.0806,0.3067,0.9124,0.0504,-0.4657,0.3358,1.0076,0.26,-0.0284,0.3385,0.065
1.0015,0.9743,0.2132,-0.0466,0.2033,0.4247,0.7462,1.044,-0.3605,1.7156,0.7462,0.5479,-1.875,-1.9105,-0.0825,-1.6549,-1.3398,0.8858,0.3506,0.1934,-3.2493,-1.8366,0.5969,-1.2374,1.0424,-1.5569,0.0289,0.9282,-0.0168,-0.5459,1.3132,-1.3163
1.1265,2.3863,-0.4921,-0.107,-0.1,-0.6304,0.5444,1.0296,-0.0576,2.8324,1.408,1.0809,0.0886,-0.1084,1.3417,-0.0916,0.2539,1.9095,-0.0231,0.4159,-2.16,-0.1943,1.0647,-1.5917,1.6702,-0.9887,0.6507,0.4768,0.2592,0.0426,1.4378,-1.0667
1.1841,2.8476,-0.4022,0.1645,-0.4633,1.2188,1.1928,1.241,0.7654,2.6944,2.0916,0.0854,2.0732,1.3462,1.5266,1.3399,2.2265,2.2156,0.4404,0.8825,-0.6058,1.7828,1.0154,-0.1338,2.8998,0.1466,1.2925,0.9811,0.8461,1.0651,1.2517,-0.0104
1.2823,2.478,0.1592,0.8297,0.1728,3.3484,2.0723,1.97,1.3666,1.5225,1.5129,-0.3038,1.8123,1.2435,-0.8435,0.8333,2.2733,1.0238,0.4056,1.0492,-1.0196,1.4151,0.0602,0.2179,2.5108,0.5576,1.6422,1.2732,0.2091,2.2135,1.1811,0.4893
1.5273,2.815,1.3607,1.1208,1.3442,3.4125,2.0027,2.0033,1.7642,0.1829,1.1237,-0.2514,1.1553,-1.0302,-1.9748,-0.911,0.2842,0.8086,0.5155,-0.0264,-0.4741,0.2647,-0.0887,-0.0103,1.3494,1.1253,1.749,0.8177,-1.687,3.2233,0.9451,0.2526
1.5488,2.7221,1.4498,0.3715,0.6523,2.4302,1.0587,0.7288,1.8206,-0.6304,0.2631,0.1877,0.5029,-2.514,-1.1856,-1.6186,-1.1254,0.3001,0.1514,-1.9034,0.1257,-0.0337,-0.2691,0.4369,0.1351,1.6511,0.8986,-0.0719,-1.8155,2.5335,-0.204,0.1092
1.7506,2.0348,-0.1007,-0.3093,-0.3835,1.3997,0.5595,-0.6124,1.6215,-0.5698,-0.7078,0.5708,-0.6245,-1.0024,-0.1997,-1.4571,-0.4337,-0.8278,-0.3165,-2.1153,-0.036,-0.058,-0.7626,0.3401,-1.3041,1.9761,0.8495,-0.5459,-0.5645,0.5448,-0.4846,0.3145
1.9587,0.4454,-0.849,-0.0077,-0.7165,0.1003,-1.0596,-0.6113,1.41,0.1102,0.3052,0.2511,-0.9313,0.8657,1.5322,-1.715,1.0589,-1.5174,0.111,-1.457,1.1189,0.1709,0.021,0.3168,-1.7428,2.0282,0.5357,-1.0935,0.4463,-1.0497,0.0449,0.6486
5.5597,8.5502,5.507,5.6618,4.0622,10.3773,1.5259,6.9236,5.6245,6.4193,3.3922,2.8309,6.9358,4.3972,6.1965,7.6336,10.7987,2.0699,4.7293,2.9774,6.5058,6.3455,5.2518,7.2556,4.9,7.859,5.8641,4.1182,4.9272,6.3591,5.026,3.9723
7.4564,11.9742,5.576,7.4894,6.4818,16.4846,3.2158,10.7035,8.8616,9.6801,4.0184,3.1739,11.1245,5.6924,7.9378,12.3681,15.5036,3.697,7.539,5.3495,8.9551,10.7663,9.0857,10.4312,9.0467,10.2643,7.7895,6.7071,6.1669,8.782,6.5329,3.443
-1.0353,-3.4441,-1.4408,0.9014,1.0746,1.8232,-0.2796,1.5856,2.3453,1.7746,0.053,-0.9727,2.6932,1.0064,1.2736,0.5003,2.422,-1.7021,0.2252,-1.0599,0.7609,1.3216,1.4611,2.4045,1.7401,0.7168,-0.8658,0.8239,0.0267,-2.1193,-0.3235,-0.2623
-1.4386,-2.8158,-1.7553,0.3204,0.8276,1.4583,0.526,0.1617,2.2002,0.1034,-1.8865,0.0376,0.9681,0.0717,-0.043,-0.5862,1.0233,-0.8356,-1.8778,-0.4648,-0.8663,0.0664,-1.1153,0.6799,0.6545,0.2564,-0.5379,0.2849,-0.1812,-2.969,-0.7829,0.7396
-0.3646,-2.7973,-1.4504,-1.05,-0.908,-1.5579,-0.0162,-0.5557,0.2632,-1.0779,-2.5731,0.3684,-0.9072,-0.3324,-0.5263,-1.6688,-1.6014,-0.9215,-2.3581,-0.776,-1.942,-0.7594,-2.4457,-1.949,-0.3551,-0.9203,-1.2146,-0.8905,-0.8025,-2.4624,-0.3874,1.2971
0.8481,-2.6269,-0.9058,-1.4875,-1.935,-1.0744,0.7926,0.1433,-1.6796,-1.6638,-2.3339,-0.8618,-0.3284,-0.1581,-1.735,-0.9514,-1.7208,0.0969,-1.7664,-2.132,-1.6118,0.804,-2.128,-2.3334,0.4864,-1.5749,-2.0312,-1.642,-0.3519,-1.3147,-0.6977,1.3044
-0.116,-0.2858,-2.1823,-1.7993,-1.0538,-1.4733,2.5807,-1.0265,-3.4598,-3.8643,-3.7709,-0.7197,-1.3941,1.7082,-1.6714,-0.5387,-2.3668,2.7747,-1.3978,-2.9119,-3.3697,0.4973,-3.6156,-0.5225,-0.3688,-0.1765,-0.9074,-0.7686,0.4383,-0.1155,-0.9908,1.2305
-2.4158,-1.7787,-3.2141,-1.5787,0.6563,-5.2901,4.4652,-2.0683,-5.0742,-5.0323,-2.7464,-0.378,-1.9826,3.5993,-1.4379,-0.3135,-2.8143,4.0883,-3.255,-3.9433,-6.7959,-1.1169,-3.8897,-0.5902,0.0801,-1.447,-1.0884,0.0642,0.5168,-1.1148,-0.4375,1.6772
-0.1947,-1.2254,-0.3612,-0.2249,1.8773,-0.437,4.4586,1.0622,-2.1594,-2.4693,-0.1085,-0.313,2.4574,3.4729,1.0744,2.4469,1.1758,3.4122,-2.6063,-1.4272,-4.2946,0.2404,-0.3718,0.9777,2.4702,-0.5756,0.1008,0.6176,0.483,0.2724,1.4437,1.9884
0.2663,-0.6222,-0.6098,-1.0696,1.2566,-5.0924,0.1084,1.1164,-0.7878,-1.0629,1.8695,-0.1751,2.0232,4.3269,3.2299,3.4203,2.9895,2.7873,-0.7788,2.68,-1.6184,-0.6022,1.2135,0.8912,1.5468,-1.8754,0.6486,0.2033,-0.3493,0.2521,3.6993,1.1262
