"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
0.3276,-4.1942,-4.2528,-0.8168,0.8649,2.4535,-3.5784,-1.5396,2.9348,1.7631,-1.1355,-1.3781,-1.4839,-0.8743,-1.5514,-4.0253,-4.5963,-1.5336,-4.339,-2.7446,0.0014,-0.7871,-1.2563,2.4303,-1.2888,-0.3022,-2.6667,-3.5755,-1.7202,-1.7421,-1.3772,-1.4679
0.3258,-4.5031,-4.554,-0.8404,0.9328,2.6014,-3.8103,-1.6565,3.0782,1.8383,-1.2668,-1.4547,-1.5916,-0.9443,-1.6794,-4.294,-4.9391,-1.6594,-4.6665,-2.9347,-0.0015,-0.8856,-1.3593,2.6123,-1.3866,-0.3116,-2.8093,-3.7777,-1.8014,-1.8684,-1.4667,-1.5534
0.3755,-4.7799,-4.8748,-0.8573,1.0677,2.8341,-4.0973,-1.7447,3.3198,2.0016,-1.3707,-1.5373,-1.6783,-0.9529,-1.7967,-4.5751,-5.193,-1.7993,-5.0012,-3.0973,0.0551,-0.9645,-1.4547,2.8766,-1.4879,-0.3317,-2.9102,-3.948,-1.884,-1.993,-1.5482,-1.659
0.4584,-5.0176,-5.1711,-0.8513,1.2629,3.1423,-4.3723,-1.7884,3.7236,2.1961,-1.4192,-1.6361,-1.6998,-0.9333,-1.8508,-4.8857,-5.4057,-1.8913,-5.3249,-3.2005,0.1785,-0.987,-1.5317,3.2277,-1.5584,-0.3189,-2.9724,-4.1489,-1.9107,-2.073,-1.5964,-1.7832
0.3281,-5.3485,-5.3835,-0.8283,1.2146,3.1569,-4.5441,-1.9612,3.9003,1.984,-1.5146,-1.7929,-1.7976,-1.1541,-1.9314,-5.2357,-6.0574,-1.8296,-5.6243,-3.3378,0.0904,-1.0265,-1.6317,3.4276,-1.5391,-0.2383,-3.1897,-4.4937,-1.8357,-2.0898,-1.571,-1.8084
1.18,0.1862,-1.3772,-0.5594,0.208,0.0196,-4.3647,-1.435,3.1152,-0.4876,-0.8405,-1.2359,0.8869,0.123,-0.4648,-3.2859,0.1391,0.2992,0.1598,1.3633,1.0021,-0.2858,0.253,2.3133,0.3412,-0.0401,-1.3232,-0.9594,-0.6817,-0.4677,0.3104,-0.8474
0.5879,0.6877,1.3398,0.9358,-0.649,0.8342,-2.2753,-1.6334,1.0891,-1.9376,-0.1238,-0.5106,1.2119,-1.3048,-0.4254,-1.1364,-0.9924,1.4886,1.4362,0.6552,1.332,0.8893,1.4014,-0.4525,2.1639,0.6148,-0.5866,-2.023,1.0145,0.1777,0.7362,0.2921
1.9019,1.2636,1.7466,2.4309,-0.4775,3.0042,-1.0744,-1.11,-0.0612,-0.5453,0.9102,1.5834,1.3165,-1.6715,-1.1349,2.1501,0.8353,1.3153,2.7161,0.5293,3.1161,2.321,2.961,-1.6149,3.0501,0.7174,-0.1808,-3.0958,1.476,-0.2751,0.1815,1.3856
1.7645,1.6132,-0.3772,1.911,0.2972,2.7932,-0.7309,0.3895,-0.0797,1.6527,1.464,3.2491,1.6307,-0.6743,-2.4729,3.3797,4.4496,1.6703,2.796,0.3535,3.606,3.5757,3.0989,-1.5619,2.3175,0.187,-1.8678,-3.7666,0.2239,-1.2243,-0.3935,1.8824
-0.4055,0.6312,-2.6045,0.1742,-0.0692,-0.3941,-0.641,1.476,-0.7347,1.5655,1.6686,2.5234,0.8284,0.6449,-3.5346,3.7995,6.3354,2.3349,1.3502,0.6106,1.1164,3.172,1.8546,-1.1232,1.0661,-0.5216,-3.2789,-1.9655,-0.6431,-1.9482,0.2202,2.1998
-0.2832,0.9387,-2.5863,-0.3359,-1.166,-2.294,0.9467,1.3557,-0.8849,-0.0902,1.7551,1.7328,0.7004,1.0762,-2.5078,4.8387,7.9289,2.973,0.2535,2.0739,0.1066,1.869,1.5112,-0.916,0.2082,0.0354,-1.4932,-0.1126,-0.5543,-1.5959,0.4956,2.5236
0.2828,3.7801,-0.8062,0.1469,-0.76,-3.1608,1.641,0.4702,-1.5866,-1.4141,0.6602,2.5516,1.7177,0.7924,-1.1852,4.4448,9.2632,4.2311,-0.2291,1.9559,0.2029,1.2956,1.0891,-1.4884,-0.4927,0.503,-0.0464,1.0786,-0.7394,-0.2065,0.7689,2.5163
-0.6954,4.8348,1.0178,1.3629,-0.3395,-3.2474,1.8819,0.5874,-3.6209,-1.3405,-1.5018,2.6248,2.2827,-0.1038,0.0558,3.6566,7.8059,3.4765,-2.1027,1.7092,-1.7733,0.8614,-0.6787,-1.7164,-0.9197,0.6191,0.603,3.3428,0.9382,0.8114,1.469,1.728
-1.1788,2.1537,1.5661,3.2814,-0.2929,-2.2664,2.7077,0.7068,-4.367,-1.3209,-3.4837,1.3273,2.9581,-1.054,0.2818,2.0726,3.1809,0.9184,-3.1051,4.2717,-1.9147,-0.692,-2.1338,-0.4376,-0.6995,0.9108,3.5392,4.6908,4.9701,1.2231,2.0589,0.6166
-0.7019,-2.0609,0.9331,3.8184,0.1146,-2.6073,3.4202,0.1507,-4.096,-1.8116,-4.5137,-0.2653,2.8121,-1.1234,0.4297,0.9567,-2.1949,-2.3698,-2.0989,5.8228,-0.721,-2.242,-2.4189,0.0046,-0.92,0.9069,5.276,4.1312,5.524,0.861,1.677,-0.2151
-1.6176,-3.6558,0.969,3.2512,0.4092,-1.4799,4.4365,-0.1952,-4.3936,-2.1279,-4.2998,-1.854,1.4607,-0.6159,0.6916,0.4814,-6.2503,-4.4077,-1.6085,3.9675,-0.3895,-3.2392,-2.3133,-1.8448,-1.4994,0.6601,5.3969,4.3342,4.7223,0.2714,0.7911,-0.1251
-2.0239,-4.0906,2.1321,2.0111,-0.102,0.779,5.2037,-0.1758,-2.9509,-1.9538,-2.4679,-1.8023,1.3929,-0.3847,0.8771,-0.1731,-7.5056,-3.4817,-1.6048,1.5112,-0.9038,-3.8338,-1.7628,-3.4267,-1.5632,1.2029,5.2368,4.2401,4.7521,-0.0533,0.0692,0.7543
-1.887,-4.4468,2.7433,1.5305,-1.3622,2.3577,5.4184,0.4758,-4.0117,-2.7339,-1.0631,-1.2865,2.0202,-0.7479,-0.1207,-2.3955,-7.7091,-2.8416,-2.1681,0.5172,-2.7969,-4.2056,-1.6114,-5.1371,-1.5016,1.5241,5.448,5.0732,5.0305,0.726,0.5063,2.0202
