"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
5.8084,6.0734,6.0229,5.777,2.6142,-1.7504,-0.5358,3.7387,8.2354,4.3979,4.0109,2.5596,3.3932,1.4202,6.3425,1.6339,2.0882,4.0199,4.6882,-0.2734,2.0485,4.2782,5.5694,2.91,5.4644,3.5414,4.4361,2.3525,4.4588,5.5323,2.5613,6.4832
6.2774,6.6316,6.5145,6.2146,2.8163,-1.9465,-0.6307,4.0204,8.8329,4.7269,4.3241,2.8121,3.6411,1.5648,6.8603,1.7879,2.2927,4.334,5.044,-0.2699,2.2438,4.6153,6.0047,3.1246,5.8659,3.8301,4.7376,2.5053,4.8006,5.9763,2.7734,7.0136
6.8371,7.3353,7.1386,6.7579,3.0904,-2.2166,-0.7777,4.3938,9.551,5.1287,4.6604,3.0996,3.919,1.7083,7.4662,1.9647,2.5231,4.706,5.4182,-0.2755,2.4799,5.0372,6.5524,3.3903,6.3734,4.198,5.1615,2.7166,5.2061,6.5045,3.0429,7.6639
7.2402,7.8481,7.4918,7.2186,3.3381,-2.0572,-0.7145,4.7511,10.2996,5.5615,4.9565,3.255,4.2583,1.7319,8.01,2.1527,2.6171,4.9916,5.8746,-0.3147,2.6038,5.4292,6.9612,3.5923,6.9095,4.485,5.6228,2.999,5.557,6.8938,3.1992,8.0996
-0.1316,1.8851,2.2522,2.3838,-0.835,-3.5966,0.2242,0.4464,0.3504,-0.3996,1.1443,1.1254,-0.559,-1.4012,0.6982,-0.1746,-1.6493,0.1539,0.5028,-1.1577,-0.8836,-1.0426,0.4746,-0.8786,1.5791,-0.0707,1.1255,-0.2415,1.1979,2.489,-0.4308,2.4312
1.0246,-0.7951,0.3073,1.465,-0.8507,-1.6424,0.2445,1.0211,-0.1051,-0.0148,0.868,0.7123,0.8517,-0.1287,1.2348,0.9337,-1.2541,1.1581,1.6185,-0.681,0.3357,-0.5072,1.3702,-0.0288,2.1504,-0.3487,0.6296,-0.5667,0.2937,1.7074,-0.2337,2.0197
1.3436,-4.4931,-2.978,-0.7329,-1.7298,-0.3886,-0.1128,0.3475,-0.2301,-0.1883,0.4464,0.063,1.3771,1.3705,1.0912,1.6677,-0.3792,1.0292,1.4435,0.0193,0.9088,0.0524,0.7586,0.3167,0.8603,-1.3383,-2.2646,-1.9482,-1.1415,-0.2779,-0.9328,0.6231
0.2517,-2.5328,-3.1651,-1.2375,-1.4114,-1.2711,-1.1537,0.0373,0.1553,-0.71,-0.127,-0.5315,0.8661,2.0143,1.5227,2.4854,1.2358,-0.0731,-0.1393,0.5273,1.2541,0.0388,-1.1226,0.1,-0.1279,-1.5514,-3.2517,-2.0192,-1.2259,-1.3184,-1.8708,-0.4783
-0.2264,0.5233,-1.9083,-0.5192,-0.8051,-2.8668,-2.7254,0.0277,-2.0257,-0.9206,-0.3344,0.4608,-0.5384,1.971,2.5079,2.7407,2.5554,0.0784,-0.1178,0.4924,3.0099,-0.8168,-1.3622,0.9597,-0.4011,-0.5105,-1.5897,-0.9459,0.0089,-0.9696,-1.1822,-0.6088
-0.3418,-2.6971,-3.2893,-2.3482,-0.6948,-2.8503,-2.7721,-0.4675,-3.8641,-0.3254,-1.088,0.3748,-1.373,1.4997,0.9894,1.828,3.2362,-0.4601,-0.3068,0.0882,2.0484,-0.7565,-0.8811,0.2229,-1.1872,-0.0774,-2.3248,-0.7488,-0.0057,-1.7184,-1.2891,-0.8115
