"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
1.7228,2.3877,0.0238,2.9075,4.8514,-0.3182,0.0605,1.044,-0.7687,2.5954,-1.4567,1.7631,2.3861,2.6575,2.1079,5.6817,6.0185,0.59,2.0661,2.5995,-0.4871,4.8606,2.7144,1.9284,2.3329,3.498,3.849,4.5025,1.7683,3.1181,2.6368,-1.8844
1.6772,2.0261,-0.2442,2.7442,4.6396,-0.6153,-0.0369,0.8179,-1.1064,2.6132,-1.5581,1.8089,2.1712,2.7137,1.9821,5.5357,5.917,0.4247,1.9765,2.6215,-0.4871,4.8959,2.7406,1.9512,2.2359,3.4172,3.87,4.3691,1.528,2.9439,2.7522,-1.9225
1.6829,1.7016,-0.5064,2.6049,4.4865,-0.9168,-0.1097,0.6088,-1.4516,2.6874,-1.691,1.8874,1.9434,2.8468,1.8655,5.4786,5.9393,0.3129,1.9392,2.6753,-0.4612,4.9984,2.8108,2.0263,2.177,3.369,3.9602,4.2881,1.281,2.769,2.9251,-1.998
1.6766,1.3444,-0.8403,2.4618,4.3073,-1.3093,-0.1701,0.3606,-1.9237,2.7566,-1.8511,1.9651,1.6575,2.9678,1.7605,5.4325,5.9498,0.1448,1.8672,2.768,-0.4442,5.1114,2.877,2.0859,2.092,3.2977,4.0226,4.1225,1.0038,2.6035,3.1254,-2.0594
1.3587,0.5968,-1.3188,2.1532,3.7483,-1.8975,-0.417,-0.1067,-2.6493,2.447,-1.9456,1.9475,1.2902,2.6873,1.5159,4.8975,5.2501,-0.3868,1.4381,2.6881,-0.6559,4.8327,2.6831,1.9004,1.7992,2.9922,3.7171,3.5824,0.6532,2.4787,3.0738,-1.8652
0.122,-1.175,-1.0195,0.1193,0.223,-1.0351,1.9071,-1.8973,-2.8891,1.2906,-1.6086,-0.0513,-1.3228,0.4736,-0.1993,0.1351,1.3419,-1.3401,0.1692,0.7738,0.0957,1.745,-0.5841,-0.753,-0.8672,0.9929,0.7578,-0.5739,-0.6411,1.2444,1.086,0.8155
-0.2977,-2.5024,0.6836,1.3928,-0.0996,-0.45,-0.0361,-0.9375,-1.045,-0.7106,-0.2961,-0.7871,1.0915,-1.5349,-0.2976,-1.3415,-2.8289,-2.1963,0.0728,0.0119,-2.0958,-0.1102,-0.3665,-0.4959,0.0717,0.5743,-0.1037,0.3131,0.9592,2.9682,-0.0943,1.7613
0.0399,-1.7996,1.0432,2.0695,-0.0484,0.7643,-1.7875,0.6837,1.4506,-0.1217,0.887,-0.1931,3.9361,-1.4464,-0.3222,-1.1893,-3.7981,-1.3326,0.6172,-1.6183,-2.216,0.6413,0.9086,0.1925,1.3613,0.9331,0.1045,1.2164,2.7711,2.7,-0.8436,0.8536
0.9558,4.2024,-0.1256,0.9327,0.1483,1.6447,-2.0621,0.619,2.4904,1.5918,1.0694,1.2376,3.1478,-0.5229,1.4722,0.0227,-0.4543,0.9062,0.372,-0.9549,0.2368,0.812,1.9949,1.0283,1.1233,0.8801,0.3326,1.486,1.4453,1.0113,-0.081,0.4665
1.2048,7.1908,0.6161,0.578,0.6526,1.5685,-0.4681,-0.7355,1.8639,0.8778,0.5035,1.2139,0.1547,-0.056,2.3647,0.8019,1.792,3.6468,-0.7142,0.0991,1.0251,-0.9874,1.3696,1.1431,0.0191,0.2646,1.0247,1.5996,0.6987,0.7042,0.3713,0.2439
