"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
3.223,2.9214,0.5082,0.826,0.1994,-0.7138,-0.9404,0.7627,-1.3777,-0.7401,-0.0144,1.6443,-2.6441,-0.5074,-0.7558,0.7922,0.5719,1.6584,3.2088,0.2926,0.7808,1.2045,-0.7903,-2.5121,0.7656,-0.6148,-1.2078,0.3102,-1.5979,0.6527,-1.0691,-1.0405
3.435,3.0769,0.4996,0.8543,0.1725,-0.8493,-1.0288,0.8043,-1.4814,-0.7931,-0.0233,1.7558,-2.8947,-0.5321,-0.8247,0.8222,0.5836,1.7312,3.3605,0.2803,0.8282,1.2674,-0.8504,-2.7138,0.8022,-0.6808,-1.3373,0.3324,-1.7529,0.6563,-1.1522,-1.1175
3.7462,3.3379,0.568,0.9365,0.2022,-0.951,-1.1071,0.9011,-1.6215,-0.8269,-0.0275,1.9303,-3.1894,-0.5774,-0.9034,0.8836,0.6455,1.8219,3.6078,0.2754,0.9063,1.362,-0.9306,-2.9901,0.8867,-0.7422,-1.4341,0.3906,-1.9391,0.6973,-1.2638,-1.2239
4.1036,3.6726,0.6749,1.0388,0.2335,-1.0622,-1.2184,0.9857,-1.8112,-0.9008,-0.0267,2.1075,-3.5122,-0.6259,-0.9447,1.0092,0.7016,1.9589,3.9675,0.2498,1.0009,1.4475,-1.0259,-3.2829,0.9787,-0.8164,-1.5771,0.443,-2.1423,0.7671,-1.4088,-1.3236
4.0947,3.5494,0.4471,0.958,-0.0248,-1.2589,-1.3745,0.8255,-1.8068,-1.0961,0.001,2.002,-3.6757,-0.5135,-0.8648,1.0871,0.5477,2.0291,4.0406,0.2543,0.9654,1.3996,-0.9852,-3.3142,0.897,-0.8992,-1.9522,0.3235,-2.2042,0.6892,-1.416,-1.2751
0.8324,1.0496,0.1137,0.4249,-0.3646,-0.7757,0.0477,-0.3209,-1.5198,-0.8308,-0.0549,0.7369,-1.8793,0.2025,-0.8838,-0.0125,0.0065,0.3887,-0.0596,-0.3719,0.3609,-0.5621,-0.364,-1.6869,-0.0905,0.1676,-2.2454,0.1805,-1.2202,-0.3938,-0.5854,-0.8013
-0.5141,-0.7148,0.4125,0.0161,-1.3664,-0.4648,-0.5741,-1.1948,0.0759,-2.0669,-0.1085,-0.2461,0.3281,0.2754,-0.4513,-0.1373,-0.9801,1.0042,-0.1002,1.5755,0.455,-1.5576,0.882,1.4361,-1.3769,0.576,-1.6977,-0.5415,1.3402,0.3543,-0.3085,0.7838
-1.1443,-2.2237,-0.2439,-0.8423,-1.544,-0.8934,-1.5905,-1.2125,1.3272,-1.8543,-0.3194,-0.6556,0.5058,-0.3004,-0.9946,-1.2799,-1.7248,0.8771,-1.3046,3.0454,0.7521,-1.5797,1.3263,2.7379,-1.8887,0.3369,-0.5394,-0.7066,1.8524,0.4608,-0.5399,1.201
-0.8157,-1.9232,-1.3468,-1.2973,-1.2796,-1.7249,-2.1989,-0.8637,0.7275,-1.2032,-0.3162,-1.1454,-0.3453,-0.4096,-0.6862,-1.0878,-2.6062,-0.0584,-1.7159,1.214,1.0178,-1.5867,0.9044,2.4864,-2.1628,-0.7469,-0.2033,-0.6201,0.8131,0.0707,-1.1778,0.7368
0.6447,-0.7301,-1.0317,-0.3124,-0.8578,-1.7403,-1.5767,-0.3351,0.574,-0.0754,0.4348,-1.2601,0.1286,0.863,1.2782,0.8719,-1.7582,-0.6398,-0.6498,-0.6355,1.1902,-1.4162,1.2928,1.8676,-1.3291,-1.0721,0.2067,-0.5727,0.4417,-0.3701,-0.6152,0.8507
