"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
1.8436,3.9117,0.6681,-1.3942,0.3473,-0.5008,-0.8749,1.0515,1.5037,1.16,1.6468,-0.2586,-0.6165,0.4151,0.6742,0.5753,2.9298,2.4815,-0.1815,1.6368,0.2618,0.7714,1.2864,1.0961,1.0658,1.9624,-1.0917,1.6624,-1.2104,0.0201,2.9373,1.2039
1.9126,4.0935,0.6974,-1.5015,0.3591,-0.5639,-0.8827,1.0365,1.5631,1.1979,1.7578,-0.2843,-0.6692,0.4015,0.6711,0.5712,3.0524,2.6197,-0.2142,1.7507,0.2581,0.7534,1.3531,1.1356,1.1125,2.0571,-1.1522,1.7617,-1.2824,0.0214,3.1389,1.2407
2.0376,4.3357,0.7803,-1.6367,0.3562,-0.6558,-0.9181,1.0086,1.6306,1.2356,1.888,-0.3185,-0.7268,0.366,0.6776,0.5918,3.2239,2.7863,-0.2655,1.9182,0.2579,0.7145,1.4074,1.1947,1.1502,2.1995,-1.2107,1.9018,-1.3638,0.0613,3.4316,1.2995
2.1568,4.605,0.9122,-1.8036,0.3741,-0.7353,-0.9399,0.9743,1.7092,1.2818,2.0016,-0.3622,-0.8068,0.3166,0.6752,0.6083,3.4155,2.9656,-0.3273,2.088,0.2445,0.6604,1.461,1.2905,1.1486,2.3399,-1.2717,2.0386,-1.4391,0.0723,3.7447,1.3367
2.0088,4.6236,0.8161,-1.8917,0.4872,-0.6804,-0.8042,0.981,1.7555,1.3376,2.0349,-0.3759,-0.8904,0.3704,0.6298,0.5086,3.4208,3.0519,-0.3165,2.0059,0.1989,0.7131,1.6034,1.3318,1.1694,2.2394,-1.3646,1.9888,-1.4459,-0.1562,3.6298,1.2379
-0.0234,0.5147,0.8345,-0.6672,0.8914,-0.3307,0.0994,-0.1034,0.8539,-0.3546,0.0411,0.1898,-0.5819,0.1654,-0.0324,0.2709,0.2595,0.2187,-0.6619,-0.2062,0.1994,-0.2529,0.744,0.2465,0.4124,0.8743,0.369,1.7625,0.7245,1.1026,-0.0174,-2.8548
1.262,1.0362,0.0766,0.296,0.9044,0.5713,1.0002,0.6631,0.9945,0.2703,1.0426,-0.5588,-0.4799,1.423,-0.3072,0.2114,0.9503,0.929,0.7813,-0.3419,1.1857,1.4297,2.581,0.6243,2.3391,1.3693,0.5234,1.0016,0.4213,1.2558,-0.78,0.0672
2.3083,1.0117,-0.9592,0.8142,0.4443,0.5462,0.5369,1.4687,1.0772,0.6665,2.5021,-1.5107,-0.1867,1.8792,0.5178,-0.0498,1.1132,0.7014,1.3306,0.1677,1.491,2.0172,2.3039,-0.4878,3.216,1.2604,-0.9533,0.2113,-1.2655,0.6438,-1.4148,1.9694
-1.3854,1.4102,-4.2419,0.1548,-0.4465,0.1816,0.1755,0.8249,2.0048,1.5151,1.4346,-0.0921,1.1284,1.7789,1.6047,0.1561,0.004,1.7227,1.2749,0.7548,2.37,1.4086,1.4824,-1.1652,2.6207,0.0531,-1.0372,-0.7841,-2.445,-1.3491,-0.2454,0.6123
0.1544,1.9948,-0.968,-0.0491,0.221,-0.1755,-0.9771,0.3649,2.2453,1.3129,0.3281,-1.6552,0.1096,0.8082,1.62,1.067,0.9056,0.1624,0.5171,1.3174,2.9817,0.7017,-0.2403,0.9095,1.3656,0.4118,-1.1143,-0.8779,-2.4626,-1.467,0.5312,1.5369
