"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
1.92,0.3264,2.4024,4.252,1.3268,4.5714,2.5847,3.3221,1.2166,1.5987,1.9553,0.8918,0.6181,0.831,0.4606,2.6812,3.2593,-0.3642,0.3884,-0.9782,0.2633,0.5361,2.2578,1.8111,1.5826,-0.3514,-0.4763,2.4504,3.3846,0.9809,0.5688,1.5659
2.0406,0.3729,2.5639,4.5522,1.4047,4.8456,2.759,3.5334,1.2953,1.7044,2.0868,0.9876,0.6582,0.9003,0.489,2.8943,3.4944,-0.3884,0.4377,-1.0434,0.283,0.5789,2.4309,1.9448,1.7139,-0.3758,-0.5164,2.6261,3.6332,1.0538,0.6264,1.6779
2.1773,0.4598,2.7921,4.9395,1.4889,5.0698,2.9234,3.7545,1.3784,1.8552,2.2144,1.0691,0.6811,0.9978,0.5388,3.2025,3.8164,-0.5262,0.4358,-1.1247,0.3263,0.6588,2.6245,2.0611,1.9373,-0.4417,-0.588,2.8198,3.9571,1.1419,0.6887,1.8352
2.3218,0.4805,3.0363,5.3753,1.6009,5.3579,3.1255,4.0202,1.4567,2.0237,2.3626,1.1729,0.7017,1.1049,0.5944,3.5421,4.151,-0.6343,0.4357,-1.2286,0.3777,0.7408,2.8515,2.1827,2.178,-0.5247,-0.6803,3.033,4.3015,1.2352,0.7546,1.9914
2.415,0.1387,2.9715,5.5067,1.7389,6.0275,3.4878,4.3388,1.4722,1.9959,2.5922,1.402,0.7996,1.1034,0.5349,3.4597,4.0829,-0.0618,0.7157,-1.3239,0.3207,0.6298,3.0567,2.3993,1.9663,-0.4243,-0.6712,3.1943,4.2977,1.2658,0.8157,1.9
-0.7933,-2.8379,2.0004,4.0658,0.7378,5.8761,4.1164,3.7125,0.5936,0.3378,2.153,0.8986,0.9232,0.4931,-1.0409,1.252,1.711,1.0764,-0.7684,-1.1823,-0.6235,-1.33,1.5095,2.865,0.0419,-0.504,0.1218,2.9308,2.3534,0.8962,0.9254,1.3335
-1.4231,-3.7113,1.1701,1.4649,0.538,7.1886,3.1737,3.4156,0.1849,-0.5291,1.6138,0.7074,2.0784,-0.1951,-2.8561,-1.2505,-0.3224,2.0143,-1.6442,-0.2888,-1.33,-2.473,-0.1275,4.1349,-3.1473,0.4812,1.3165,2.022,0.5393,0.5743,1.9398,-0.8666
1.5176,1.2789,-1.2933,-0.7268,0.2411,7.0817,3.2664,2.4097,1.7766,-1.3053,2.4608,2.0994,2.4205,-0.4538,-1.0406,-2.6627,-0.5607,5.7814,4.2747,0.5778,-1.5467,-1.7398,1.1013,4.2315,-4.0771,2.8982,1.9219,2.1046,0.0293,0.3268,0.9846,-0.4319
0.3341,0.5698,2.0077,0.5197,-0.656,5.4079,1.5374,2.4204,0.9519,-1.5741,0.7755,0.0785,2.8589,0.1171,-2.1046,-1.5046,-0.2294,2.1378,-0.5325,2.4062,-2.1715,-0.611,-0.5474,2.9663,-0.708,1.3658,4.7108,0.897,1.5631,2.2689,1.5304,-0.8557
1.5336,1.0466,1.1914,0.2606,-1.1105,-0.1884,-0.6858,-0.0028,-0.4174,-1.552,-0.946,0.2328,2.0433,1.6067,-1.2274,-0.1313,0.349,1.9486,0.3046,3.3506,-0.8155,0.711,-0.7197,0.7018,0.4577,0.8289,3.2393,-0.7744,0.5411,1.9141,1.1091,-0.2497
