"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
2.1438,1.4659,1.2779,1.6567,1.7132,0.975,2,0.9549,1.6082,0.5446,3.2607,-0.051,2.5599,2.0992,1.1812,0.8207,1.4809,1.6236,0.1437,3.7155,3.877,0.0892,1.8827,0.2845,0.3137,1.3594,2.442,3.1863,2.2316,0.8807,1.8672,0.1082
2.2973,1.5927,1.3831,1.7743,1.8516,1.0465,2.167,1.0464,1.7409,0.6048,3.5006,-0.0282,2.75,2.2535,1.2718,0.8777,1.6016,1.7446,0.1608,4.0109,4.1759,0.119,2.0225,0.3282,0.3606,1.4539,2.6175,3.4437,2.4085,0.9409,2.0175,0.1184
2.4257,1.6652,1.5432,1.8725,1.97,1.165,2.3707,1.101,1.9088,0.6364,3.816,-0.077,2.9708,2.4265,1.3172,0.8698,1.6769,1.8684,0.1115,4.2961,4.5438,0.1094,2.1685,0.3405,0.3441,1.5658,2.7939,3.7074,2.6057,1.0001,2.1621,0.136
2.5752,1.7516,1.7235,1.9859,2.0972,1.3244,2.6174,1.1607,2.1038,0.6761,4.1809,-0.1535,3.237,2.6098,1.3578,0.8411,1.7559,2.0035,0.044,4.6479,4.9509,0.0846,2.3345,0.3512,0.321,1.6912,2.9955,4.0081,2.814,1.0732,2.3294,0.1612
2.983,2.2444,1.6673,2.3178,2.4392,1.2726,2.7253,1.4765,2.196,0.901,4.3094,0.1767,3.4597,2.7915,1.6969,1.2041,2.1655,2.2033,0.339,5.2551,5.1352,0.2876,2.5368,0.5235,0.7003,1.7884,3.304,4.4129,3.025,1.2252,2.6234,0.1459
0.8524,0.1553,-0.7314,0.337,0.2037,-0.0044,0.5827,0.0645,0.4576,0.2541,0.3067,-0.3674,0.812,0.8872,-0.7438,-0.4607,0.7435,0.4761,-1.0806,1.291,-0.2096,-0.5276,0.2115,1.9867,-0.517,-0.8314,0.9279,1.3714,0.1869,-0.2617,1.0163,-1.2272
0.4208,0.159,-1.7766,0.0954,-0.3892,-0.0267,0.9463,0.2914,-0.2325,0.8926,-0.1072,-1.0688,0.3377,-0.862,0.4797,-0.9824,-0.871,-0.608,0.0696,0.622,-1.4295,-1.2808,-0.7399,3.2236,-0.4358,-1.5183,1.2319,1.2846,-0.4213,-0.4583,0.7454,-1.6153
4.8635,6.4484,-2.2128,3.8406,4.682,-3.7005,-0.8184,4.5647,-0.5147,2.9658,-1.5304,7.094,0.491,2.255,5.8351,7.3767,6.1713,2.6126,6.0082,4.7838,0.9539,4.2734,2.2177,3.1422,5.9408,0.7243,3.3274,4.2641,2.6652,1.0676,2.9772,-0.7204
2.7475,4.2158,-2.235,2.0458,3.1232,-4.5264,-1.6299,3.3322,-1.27,1.9518,-3.0446,6.6022,-1.1737,1.5435,4.6929,6.473,4.5939,1.9549,5.0581,1.1237,0.3762,4.0369,1.3097,2.9031,4.3409,0.2262,1.7675,2.6371,2.0784,-0.0031,1.3628,-0.9792
-1.0347,0.5764,0.2028,-0.3618,0.212,-1.372,-1.1823,-0.0851,-1.4549,-0.1772,-0.8205,0.7782,0.1051,-0.0115,1.5586,0.5781,0.0822,-0.7404,1.2102,-0.9804,0.2176,-0.1367,-0.7296,-0.1639,-0.4789,-1.1491,-0.6778,0.6187,0.1846,-1.2704,-0.8164,-0.4333
0.194,1.4659,0.789,0.2796,0.2937,-0.1067,0.6574,0.4838,-0.749,0.0236,-0.5574,0.3677,0.4672,0.4817,-0.6255,0.5065,0.9644,-0.5841,-0.835,-0.6368,-0.783,0.4997,0.3126,-0.0355,-0.1839,-0.3379,-0.438,1.4439,-0.4339,-0.609,-1.3326,-1.2604
1.4802,2.01,0.4967,0.9034,1.5716,-0.3363,0.7931,1.9147,0.1092,1.1098,0.4806,0.688,-0.2245,0.6955,-0.9642,1.0092,1.1569,0.007,-1.5179,-0.7125,-0.6696,1.1116,0.8554,0.2522,1.5801,-0.2598,0.5068,0.4181,-0.1703,-0.0779,-0.6614,-1.1135
0.7965,0.8234,0.2573,-0.1034,1.1792,-1.0513,-1.3646,1.6273,0.5197,1.2993,0.5661,1.0883,-0.5162,-0.0644,-0.8536,0.7781,0.6374,0.7976,-0.1982,-1.1975,-0.2403,0.581,1.0362,-0.0775,2.4223,-0.8516,0.5059,-1.6333,0.5393,-0.2557,0.4559,0.5657
