"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
-4.3303,-2.5767,-1.9838,-0.3681,-0.1423,2.0821,-0.8362,-0.5184,1.4391,0.3333,-1.5055,0.3587,2.252,-0.3093,-1.7071,0.1066,-0.788,0.789,-2.5751,1.7158,3.7477,-0.0916,0.7541,-1.1585,0.5409,-1.4653,-2.3989,-1.3801,-0.7203,-1.1129,-0.5127,-0.1186
-4.5893,-2.7381,-2.1199,-0.3503,-0.1343,2.233,-0.8968,-0.5622,1.5355,0.3954,-1.6134,0.4598,2.4304,-0.3416,-1.8289,0.1185,-0.8114,0.8773,-2.6945,1.8746,4.0597,-0.1037,0.8275,-1.2376,0.6083,-1.5531,-2.5732,-1.4631,-0.7251,-1.1576,-0.5445,-0.0766
-5.0008,-2.9711,-2.3225,-0.3442,-0.1306,2.4096,-0.9783,-0.5952,1.6896,0.4661,-1.7782,0.5802,2.6571,-0.3611,-2.0201,0.153,-0.8574,0.9627,-2.8825,2.0957,4.5071,-0.0867,0.9278,-1.3659,0.6891,-1.6949,-2.776,-1.5734,-0.7429,-1.2563,-0.5931,-0.0889
-5.765,-3.2999,-2.5992,-0.4589,-0.1432,2.4717,-1.0587,-0.5026,1.8982,0.3741,-2.0128,0.3967,2.7463,-0.35,-2.2967,0.1354,-1.1052,0.8875,-3.3069,2.1647,4.7936,-0.0392,0.8719,-1.5599,0.7867,-1.8947,-2.998,-1.6322,-0.9592,-1.4943,-0.7109,-0.3541
-3.3569,-1.7069,-0.2127,-1.1266,-0.5406,1.08,0.0701,0.0835,1.4532,0.0263,0.5332,-2.0679,1.5632,0.2772,0.7394,0.0445,-0.2693,-0.0897,-0.4329,2.0534,2.6156,0.2141,1.0065,1.4258,1.7484,-0.6201,-0.7088,0.7626,-0.5612,-0.3188,-0.4104,-1.2896
-0.8216,-0.6176,0.5293,-0.4349,0.8655,0.9091,0.2203,1.4524,1.4155,-0.1176,0.749,-3.2032,1.6567,-0.0329,1.441,-0.2518,-1.1548,-1.1057,0.8049,1.5156,2.054,0.5381,1.5951,0.8536,3.5268,0.122,0.0792,1.5378,-0.83,0.2854,-0.407,-1.0344
2.4572,0.8332,0.4219,0.1744,1.4484,-0.3209,-0.6418,1.615,0.0523,0.2328,0.5,-2.1482,0.9422,-1.0336,0.7861,-0.7978,-1.1242,-0.7306,0.7323,-1.3108,-0.5719,0.0049,1.3826,-1.5177,3.3991,0.557,-0.6646,0.7328,-1.0406,0.7062,0.0658,0.8745
2.0897,1.0756,-0.9707,-0.0939,0.4022,-2.687,-2.5354,0.9485,-1.1505,-0.3101,0.9987,-0.4794,-1.8181,-1.3765,-0.547,-0.7896,-0.5577,1.3974,-0.4089,-3.5261,-3.037,-0.0681,0.6753,-3.1648,2.0582,-0.5162,-1.9187,-0.8438,-0.6105,0.1838,0.0691,1.2118
0.1147,0.184,-2.6822,-0.508,-0.3765,-3.7552,-3.2159,0.09,-1.9075,-2.0612,0.8641,-0.8105,-3.5932,-1.932,-1.5275,-1.8967,-1.0991,1.7098,-0.736,-3.462,-4.1605,-0.4804,-0.9624,-3.0479,0.1344,-1.3944,-2.5452,-1.4667,0.2507,0.1109,-0.5973,0.2185
0.6022,-0.1539,-2.1266,0.3582,-0.8304,-1.5565,-0.9694,-0.5272,-2.0729,-1.1354,-1.2171,-0.7135,-2.3975,-1.7443,-1.6457,-2.1689,-1.051,-0.0603,-0.4111,-2.849,-3.0556,-1.2644,-2.9032,-2.5858,-1.8686,-0.0425,-2.3887,-1.5323,0.7836,0.5701,0.0288,-0.0185
-0.1098,-0.0308,-1.1498,1.2969,-1.2694,0.1935,0.6086,-0.931,-0.7822,0.6979,-2.1472,-0.3209,-2.313,-0.0463,-0.3696,-0.6545,0.2924,-1.4178,-0.5512,-3.6761,-1.9775,-1.2656,-3.4278,-1.3939,-1.8651,1.2105,-1.797,-0.5382,0.474,0.3877,1.1542,-0.2991
-2.4134,-0.6333,0.6919,0.368,-1.3995,1.4341,1.4323,-2.8696,-0.3135,-0.9948,-0.827,-3.0501,-3.9166,-0.6835,-0.1924,-3.0033,-1.3038,-2.7937,1.6862,-2.8838,-3.9455,-2.7243,-4.6855,1.4873,-2.3799,-0.0858,-2.1386,1.2935,-1.2116,-0.0688,-0.0896,-1.5564
1.4716,3.3262,-0.3713,1.1347,1.3276,1.6347,0.8787,0.3651,1.1738,1.3198,0.1277,-0.255,-0.5441,0.1401,1.2725,-0.2176,0.7525,-2.1519,4.5618,-0.314,-0.5631,-1.5694,-0.1847,1.6259,0.8006,-0.1338,0.1518,1.9643,-0.4934,-0.1167,0.8149,-0.8003
2.9681,2.2927,0.67,1.0487,1.3421,1.6038,0.8397,0.759,0.6641,1.2324,-0.4633,0.9541,1.2943,-0.2783,1.21,-0.6746,-0.1908,-1.1691,4.1502,0.4435,0.6564,-0.8729,0.8814,-0.4968,2.0794,0.7947,0.5121,1.329,-0.772,-0.3481,-0.1848,-1.0016
2.5787,1.6032,-0.1071,0.7863,0.533,-0.2817,0.3552,0.1276,-0.3342,-0.3711,-0.4231,1.8736,1.7308,-0.7754,0.8682,-0.635,-0.7011,0.5432,2.7501,0.8817,0.966,0.328,0.4217,-1.2994,2.4514,1.4747,0.5261,1.351,-0.3483,-0.14,-1.5569,-1.3665
0.7665,1.448,-0.8406,1.0327,0.9685,-1.2704,0.9984,0.5939,-0.6468,-0.0421,-0.6522,1.3847,1.7019,0.0648,0.0103,0.641,0.0431,0.9326,0.5388,1.5914,0.3909,1.5361,-0.5474,-0.8307,2.3061,1.6463,0.8751,1.5413,0.6225,0.1185,-1.9444,-0.6292
1.6186,1.5677,-0.263,1.0526,0.8228,-0.9464,0.8268,1.6122,-0.1867,1.454,-0.7411,1.7327,1.7058,1.1604,-0.6488,0.9489,0.3917,0.2383,0.1727,0.7361,-0.8738,1.5952,-0.1848,-0.9106,0.8887,1.2055,0.6773,0.9676,1.0765,0.3025,-0.2642,0.9993
2.1835,2.19,-0.3667,-0.2281,-0.1805,-2.1449,-1.5657,1.5925,0.3236,0.7491,0.6925,2.2916,0.4849,1.9186,-0.403,0.5146,0.3204,0.3309,1.2051,-0.7641,-1.3003,1.8309,0.6996,-0.4002,0.2892,-0.134,0.2959,-0.0239,1.7494,0.1865,1.4757,1.4105
2.381,3.4022,-0.1487,-1.221,0.1175,-2.8652,-2.7719,0.7246,0.3144,-0.3568,2.2047,1.4616,-0.4605,2.7051,1.5967,1.2776,1.8098,1.0682,2.7738,-0.7447,-0.4928,1.375,0.0846,0.8133,0.4267,-1.4721,0.0286,0.0117,1.5905,-0.288,2.0867,0.9571
2.749,3.1538,0.3177,-1.1734,0.9223,-1.0337,-0.7353,0.2308,-0.1283,0.4379,0.749,1.1599,-0.0304,2.3493,2.1011,1.6862,3.1341,1.0639,2.8429,0.6857,0.1662,0.4108,-1.1969,-0.4562,-0.2744,-1.0496,0.075,0.6515,-0.1011,-1.1515,0.9005,0.7679
2.9213,2.1236,1.1358,0.5555,0.8245,-0.0536,0.9081,0.1079,-1.283,1.2551,-1.0185,1.4355,-0.4518,0.7067,0.085,0.7476,2.1579,0.5826,2.3309,1.3009,-0.8591,0.601,-1.6384,-1.2393,-0.6218,1.0545,0.5279,1.1457,-0.3866,-0.2409,-0.7632,0.3116
2.7293,1.8852,1.6025,2.4467,1.0468,-1.0129,0.4383,0.2037,-2.1575,0.368,-1.5412,2.4175,-1.1841,-0.176,-1.2524,0.9274,1.0905,-0.2294,2.1569,0.8106,-1.6875,1.4803,-0.4076,-0.1169,0.1348,3.0678,1.4009,1.0823,0.6978,1.5986,-0.0279,-0.8342
1.1075,1.5041,0.5466,2.3962,1.5089,-3.1743,-1.0146,-0.4054,-2.1392,-1.6435,-1.5629,2.0786,-1.767,-0.0982,-1.4639,1.807,0.7364,-0.3014,0.6011,-0.8378,-2.4834,1.9392,0.3261,0.0312,0.698,2.8247,1.8203,0.2663,1.0252,1.6978,1.2636,-1.2211
-0.3167,0.0906,-0.5696,1.7791,1.6577,-2.9388,0.0571,-0.8351,-1.6787,-2.4179,-1.9297,0.8606,-1.0466,-1.1953,-0.469,1.7608,-0.0974,-0.4366,-1.3025,-0.8304,-1.9898,0.7537,0.1443,-1.2929,0.5091,1.557,2.138,0.0563,0.5709,0.6709,0.5551,-0.479
-1.1324,-0.4322,-0.9253,0.7418,0.5368,-2.3804,0.1285,-1.3391,-2.1297,-2.8623,0.0035,0.6154,-1.7358,-2.0202,0.8343,0.4998,-1.2782,-0.4782,-1.754,-0.272,-1.2754,-1.4662,0.0872,-2.6423,-0.6734,0.1173,1.6355,-0.3724,0.2936,-0.5726,-0.5883,-0.0833
-1.0164,0.4977,-0.4909,-0.2675,-0.2214,-3.2432,-2.252,-1.0278,-2.8224,-2.693,2.2191,1.2817,-3.7508,-0.9617,1.4959,0.8713,-0.2985,0.2744,-1.3306,-0.1352,-0.4686,-1.3601,1.3171,-2.9488,-0.0715,-0.1422,2.0044,-0.9407,1.5043,-0.0262,0.6564,0.5388
2.4063,0.7681,1.1289,0.1629,0.9093,-1.3166,-1.398,0.7867,-0.6754,-0.9385,1.3352,1.2194,-2.0788,1.0817,2.1858,2.1885,2.0569,1.24,-0.4723,0.7333,1.7691,-0.2105,2.586,-1.7833,3.1016,0.3319,3.3982,0.857,2.8555,1.4269,1.91,1.4852
4.201,-0.2041,1.1472,0.1275,0.9547,1.7185,1.5435,1.5005,1.401,1.2579,-0.1457,-0.3762,0.6694,1.9791,1.9612,1.8191,2.011,2.3015,-0.2891,0.9961,1.7609,0.2378,1.2653,-0.5683,2.8349,0.5782,3.0988,1.9508,2.275,0.9652,1.4708,1.5973
3.0682,0.1274,-0.555,-0.3251,-0.6791,1.3892,0.7147,2.044,0.9526,2.1404,-0.0167,-0.8942,0.6259,1.9416,0.4338,1.4479,0.7993,2.0292,-0.0648,-0.2013,-0.5559,1.2012,0.0502,-0.6797,0.4749,0.3191,2.1371,0.4099,0.6501,0.0016,0.6738,0.2003
1.8138,1.4905,-1.4954,-0.8958,-1.8263,-0.9311,-1.6997,1.4816,-0.3708,1.2973,1.1085,-0.0054,-0.2355,0.8911,0.1578,1.4056,-0.3214,-0.2723,1.2559,0.2723,-1.8203,1.9993,0.5122,-0.3745,-0.8669,-0.5361,0.4307,-1.8203,-0.4604,-0.7283,-0.6039,-0.743
0.8518,1.1897,-0.6483,-1.5245,-2.0104,-2.5063,-1.6192,-0.0833,-0.6598,0.1215,1.5219,-0.6513,-1.176,-0.5361,1.0802,0.1432,-1.7672,-2.0093,1.6872,0.7476,-1.0867,1.6717,0.1891,0.6289,-1.9811,-0.7942,-0.7837,-1.7282,-0.7211,-0.4842,-1.5861,-0.1454
0.2389,-0.2459,0.3818,-2.0918,-1.6866,-1.8954,0.3677,-1.7694,-0.6402,-0.3842,-0.1455,-1.4884,-2.0777,-2.4597,-0.6833,-3.5048,-3.697,-2.0573,0.9758,-0.1498,-0.5645,0.0577,-1.9147,-0.3157,-3.7822,-0.8229,-1.6468,-1.2832,-0.7426,0.4436,-2.1363,0.7058
-0.2903,-1.0364,0.6175,-1.7001,-0.8708,-1.7733,0.322,-1.8402,-0.6983,-0.1816,-1.3663,-0.7895,-2.0311,-2.2015,-3.7053,-4.6902,-4.1706,-2.3244,0.1906,-1.6178,-2.2183,-0.3187,-2.6309,-1.9282,-3.5602,-1.3338,-2.0412,-1.0304,-0.3407,1.3571,-1.3215,0.5917
-1.4703,-0.461,0.0047,-0.7558,-0.6587,-3.4038,-1.7637,-1.3688,-0.3228,-0.7423,-1.0339,-0.6772,-2.1565,-0.1136,-4.1727,-3.0998,-2.1601,-1.3947,-0.7174,-3.5938,-3.5379,0.7045,-0.8862,-2.763,-1.9534,-2.0354,-2.1854,-1.4692,0.768,1.3376,0.5217,0.3199
-2.3268,-0.7523,0.6011,0.2981,-0.5718,-3.1972,-1.9265,-0.6675,-0.7906,-1.4518,-1.1892,-1.2378,-2.4912,0.1173,-3.6811,-1.9728,-1.2656,-0.3533,-2.6865,-4.979,-2.8711,0.3727,0.5594,-2.8729,-1.5757,-1.2756,-1.8124,-0.57,1.6545,1.8663,1.1106,0.5628
-1.4448,-0.5122,1.8604,-0.0352,-0.1506,-1.8857,0.0484,0.8001,-0.903,-0.4396,-1.414,-0.3061,-1.3025,0.258,-1.5814,-1.1562,-1.2676,0.4499,-4.0534,-3.5405,-1.0406,-0.5071,0.8604,-1.2625,-2.0598,0.6812,-0.1844,2.3543,0.6105,1.2653,0.4109,0.8287
-0.6981,1.2259,2.7205,-0.6068,0.6684,-1.1712,0.6054,1.2725,-0.6633,0.4547,-0.0725,1.8673,-0.2402,1.3147,0.782,-0.7657,-0.1806,1.2036,-3.4765,0.0803,-0.3864,-0.9246,0.4046,1.7641,-2.6577,2.2577,1.7651,3.3538,-0.3185,0.2152,-0.6438,1.0013
0.0028,2.1771,3.1659,0.4876,1.9072,2.8687,2.402,1.2884,-0.8468,-0.1181,0.1068,3.4035,1.5079,1.9792,1.0677,-0.7475,1.8582,0.7097,-2.2446,2.9644,0.6626,-1.4269,0.1518,3.285,-1.9346,2.6619,2.073,0.2759,-0.5215,0.7168,0.1612,1.4525
-10.6388,-6.305,-0.135,-2.1242,-0.8732,9.036,5.5028,-5.0682,-2.7591,-6.6501,-5.6863,0.2203,0.6744,-2.9364,-4.8347,-3.8831,-2.5925,-3.271,-5.1938,0.549,-2.2846,-6.9814,-6.6569,-4.3086,-7.5442,-3.9746,-5.3765,-9.5178,-7.832,-3.4356,-0.0861,-1.2263
-2.9296,0.2265,-0.1218,0.9734,0.0516,13.4607,8.1438,-1.4688,-0.9181,-3.6055,-3.9018,1.7751,2.5936,-1.0774,-2.1009,0.3721,2.6915,-1.2325,-0.4976,1.1784,-0.9456,-4.5518,-5.4269,-2.9393,-3.791,-4.2528,-3.9198,-10.6743,-5.9664,-2.6123,1.7988,0.5096
-3.3591,-2.6355,0.704,-0.4196,-0.5245,14.1048,7.9393,-3.6393,1.7387,-2.8995,-3.5296,-0.537,6.8109,-0.4161,1.4126,0.6378,2.7529,-1.9391,-1.6354,2.9647,0.8815,-4.234,-4.6138,-1.3021,-3.6045,-5.0994,-2.9688,-7.1446,-6.1927,-4.0262,1.3194,-2.0852
-0.3855,0.1601,0.2201,0.8133,-0.4476,6.1421,1.7213,-0.514,2.4232,-0.1766,1.2039,1.4072,1.4065,0.7166,2.6339,2.1724,1.6749,-0.2375,-0.451,0.4585,0.9854,0.8712,0.5565,3.1418,0.3815,-1.5271,-0.7754,-2.2216,-0.7623,-2.2041,-0.0031,-0.8033
