"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
1.7282,-0.9871,-2.9372,-0.9185,-0.6911,-1.9629,1.5409,0.6126,0.4377,1.605,1.5853,-3.2078,1.68,0.3814,3.1775,-0.4148,-0.8887,-0.1002,1.0471,3.4128,3.6344,0.9877,3.0988,2.8619,0.0475,-0.3585,-1.6856,-0.1103,0.6633,0.4298,0.4694,-0.895
1.9262,-0.9998,-3.1157,-0.9102,-0.6962,-2.1054,1.6233,0.7129,0.512,1.78,1.7229,-3.3371,1.8137,0.4791,3.3773,-0.3799,-0.8773,-0.0371,1.0944,3.6683,3.859,1.0905,3.3487,3.2242,0.1126,-0.2968,-1.7137,-0.1165,0.7807,0.4895,0.5801,-0.8961
2.1646,-1.0238,-3.3166,-0.9584,-0.7458,-2.2157,1.7911,0.8109,0.5998,2.0133,1.9206,-3.5686,2.0267,0.5384,3.6757,-0.3441,-0.8638,0.0177,1.1824,3.9557,4.1618,1.2022,3.6798,3.7023,0.2071,-0.2508,-1.7746,-0.0425,0.9517,0.6018,0.7548,-0.9472
2.4542,-1.0343,-3.5755,-1.0229,-0.7773,-2.4027,1.9641,0.9064,0.6822,2.2426,2.1134,-3.761,2.2244,0.6543,4.038,-0.2315,-0.7966,0.1096,1.286,4.2623,4.5255,1.366,4.0541,4.1926,0.3126,-0.1675,-1.8095,0.0261,1.1783,0.7754,0.9251,-0.9334
2.7243,-0.8653,-3.8595,-0.8064,-0.4839,-2.9209,1.7124,1.0478,0.7467,2.1562,2.0111,-3.2456,2.0873,1.2568,4.0811,0.1342,-0.4892,0.3958,1.2962,4.5698,4.7413,1.716,4.1864,4.1993,0.311,0.1709,-1.5807,-0.3151,1.2728,0.8029,0.7731,-0.3914
0.5268,-1.1873,-2.0407,0.3368,1.6053,0.7819,1.6265,1.848,2.8859,0.1946,0.9343,-0.5549,-0.3667,1.9247,1.7668,0.8539,-0.7583,0.3157,-1.829,2.22,2.8293,1.4091,2.9264,3.1351,0.9192,1.8152,1.811,1.2455,0.8135,0.7817,-0.2533,0.1153
-0.1655,-2.224,-0.5752,1.4126,3.0376,1.9651,2.54,2.4693,2.2889,-0.1397,-0.4318,-0.7015,-1.9146,-0.318,-1.0622,-0.2532,-2.138,-0.1824,-0.995,-0.914,1.9535,-0.5871,1.2429,1.4857,0.0782,1.6402,1.993,-0.5188,-0.7348,0.3708,-2.2294,-0.025
-0.5488,-0.6008,-0.9411,3.9989,1.4517,-2.2538,-4.128,2.3146,0.4862,-0.2539,-0.893,1.2537,-1.4509,2.2359,-4.5724,-3.2731,-2.9547,-0.2365,-1.6471,3.181,-2.1786,-0.655,-1.8412,-1.0281,-1.5722,-0.3325,-0.9446,-5.752,-4.5587,-5.9468,-1.9757,0.1963
-0.7837,-1.8932,1.6395,3.0088,1.0286,0.4685,1.7951,0.9867,-1.481,-1.1705,-1.2176,-0.8723,0.2257,-1.2207,-2.754,-3.968,-2.7719,-0.7865,1.6306,-1.6505,-5.1008,-4.0425,-2.3604,-1.3169,-0.752,-0.4228,0.2805,-0.8721,-1.9194,-1.5501,-0.8912,0.584
1.4815,-0.7192,1.3146,0.5822,-0.6161,2.108,2.0129,0.1788,-0.107,-0.4675,-0.7203,1.1165,-0.592,1.1562,-1.9552,0.1568,0.4679,0.4864,3.3582,-0.3032,-2.6865,-2.0459,-1.1857,-0.2566,-1.1338,-0.5239,-0.2912,0.4423,-1.3227,-0.7905,-0.1249,2.1686
