"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
1.4115,1.7981,4.1344,3.628,2.7054,3.7284,0.0201,1.9453,4.7998,2.1731,0.6448,0.511,2.8096,1.6002,2.2735,2.848,2.4329,1.7105,2.6894,6.8963,-1.7871,2.28,2.3845,1.0851,2.8542,2.5473,3.0813,2.7749,1.2501,1.2957,1.0925,1.9382
1.5138,1.9011,4.3726,3.8262,2.9072,3.9095,0.0263,2.0621,5.1714,2.3373,0.7465,0.5696,3.0049,1.7416,2.4652,3.0786,2.6207,1.8116,2.9122,7.3757,-1.8611,2.4622,2.5681,1.1315,3.0302,2.7502,3.2641,2.918,1.2972,1.324,1.1687,2.0224
1.6319,2.0203,4.6406,4.0595,3.1446,4.0552,-0.0104,2.2086,5.5945,2.5074,0.8625,0.6259,3.2288,1.9212,2.6835,3.3744,2.8682,1.9214,3.1343,7.9234,-1.9257,2.6887,2.7669,1.1712,3.2535,3.004,3.4907,3.094,1.3505,1.356,1.2638,2.1083
1.7779,2.1839,4.9589,4.3558,3.4303,4.2632,-0.0265,2.3844,6.1031,2.7529,0.9826,0.6694,3.4954,2.1466,2.88,3.7173,3.1439,2.0185,3.3071,8.5408,-1.962,2.9535,3.0025,1.2445,3.5006,3.285,3.78,3.3331,1.4394,1.4378,1.3816,2.2203
1.925,2.44,5.2818,4.5937,3.6411,4.7873,0.2124,2.5133,6.5966,3.1231,1.0875,0.809,3.6985,2.3278,2.98,3.8383,3.2455,2.2171,3.249,9.0013,-2.0004,3.1496,3.2717,1.4985,3.604,3.4483,4.0235,3.5869,1.5641,1.574,1.4208,2.4061
-0.9912,0.297,1.938,1.7077,1.3244,1.2404,0.5964,0.599,3.1294,0.3307,0.7048,0.6012,0.9233,1.1412,-0.4264,0.5802,0.7232,-0.6024,0.2956,0.4315,-0.6603,-0.5793,0.1147,0.4573,-0.6974,-0.0993,0.2793,0.4578,0.8,0.4564,0.1614,1.3649
-0.9628,0.4887,2.1361,1.5766,1.02,3.6646,1.6912,0.2358,2.6917,0.6287,-0.4263,1.0367,0.5801,-0.2124,-0.8239,-1.2772,-0.322,0.9246,0.423,-0.8379,-2.6098,-0.8712,-0.2172,0.0289,-2.5209,-0.6033,-0.5524,-0.4021,-1.4322,-0.5996,-0.0274,0.8826
-1.0484,-1.4101,0.9906,-0.0632,-0.0398,2.1392,1.1026,-0.5982,-0.2778,-1.0526,-0.2338,0.7519,-0.715,-1.8139,-0.0064,-2.6847,-1.674,0.7776,4.7737,-3.1174,-3.8979,-1.8677,-0.5687,-1.1964,-2.725,-1.2051,-2.0227,-2.3561,-2.6459,-1.8546,0.062,-0.7017
-1.5762,-3.1328,-1.786,-2.7702,-1.1432,-2.5791,-0.6188,-2.4246,-4.6256,-2.2677,0.3422,0.5439,-1.3351,-1.7801,0.2955,-2.7267,-2.5981,-0.9517,5.0316,-5.6642,-3.3086,-2.5406,-1.0126,-1.7836,-3.5808,-1.7888,-3.8045,-5.0476,-3.5796,-3.8668,1.023,-2.4093
-0.8615,-2.2831,-1.762,-3.5533,-1.0196,-4.5512,-1.6421,-1.9878,-5.9561,-2.5611,2.0206,0.4177,-0.6262,-0.5819,1.2425,-2.4539,-3.0508,-0.8495,1.5427,-4.9887,-1.639,-2.5849,-0.9805,0.3095,-3.807,-1.6579,-3.4134,-3.4183,-2.9928,-3.0411,1.5487,-1.7556
