"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
1.3545,-1.6139,1.3709,2.1573,1.8183,0.8159,0.7615,2.3232,0.626,1.0279,-0.1485,1.8636,1.9304,1.7522,-0.9592,1.3957,1.1672,0.9939,-0.3964,1.9606,0.6805,1.1818,1.5916,-0.4019,0.3856,0.7627,2.4004,2.517,1.2067,1.6117,1.5051,2.2878
1.4941,-1.6401,1.4901,2.3244,1.9809,0.9088,0.8809,2.4825,0.6901,1.1133,-0.1352,2.0358,2.0971,1.9067,-0.9319,1.53,1.291,1.0888,-0.3247,2.1139,0.7469,1.2751,1.7313,-0.3371,0.4333,0.825,2.5693,2.7541,1.321,1.7418,1.6367,2.4755
1.6728,-1.7259,1.6295,2.5382,2.1777,1.0127,0.9709,2.696,0.7649,1.1683,-0.1004,2.2474,2.2456,2.0607,-0.9718,1.6588,1.3778,1.1966,-0.2123,2.2711,0.8165,1.3727,1.9026,-0.3268,0.482,0.8864,2.7674,3.0377,1.438,1.8823,1.7837,2.6929
1.8012,-1.8829,1.7661,2.7851,2.3883,1.1043,1.0502,2.9649,0.8274,1.2397,-0.1007,2.4202,2.3895,2.208,-1.0963,1.8277,1.4449,1.3197,-0.1597,2.4581,0.9101,1.4794,2.0988,-0.3537,0.5565,0.9597,3.0093,3.3233,1.599,2.0512,1.9395,2.9292
1.664,-1.845,1.7876,2.8718,2.4629,1.1701,1.3326,3.0849,0.8607,1.5368,-0.2719,2.3537,2.699,2.377,-0.9365,2.0915,1.7411,1.429,-0.3963,2.732,1.0692,1.6356,2.1965,-0.1822,0.7386,1.0291,3.2598,3.4028,1.8033,2.2028,2.0628,3.1239
-0.0859,-1.776,-0.4002,0.3237,-0.1857,-0.8737,0.4817,-0.1417,-0.4386,-0.0085,-1.9571,-0.2427,1.5819,0.6443,0.0621,1.1773,0.7254,-0.529,-0.7728,0.5982,0.0498,0.2844,0.275,1.6046,-0.0539,0.1642,1.1904,0.8001,2.0016,0.7865,0.7282,0.4242
-1.1808,-0.2842,0.6978,1.1805,0.3316,1.3457,1.7399,0.2027,-0.351,0.8069,-2.1873,-0.0062,2.4249,1.9917,2.0851,0.7874,2.4731,1.1432,-2.0752,2.0826,0.738,0.6069,0.4049,2.9251,1.8801,1.1103,1.4233,1.0784,3.1008,1.7223,0.9275,1.455
0.3328,1.6406,0.8105,0.2133,0.4985,1.4198,0.1973,-0.8564,1.0052,1.0636,-2.8022,1.0033,1.8934,2.5218,3.0393,-1.0254,2.5811,1.2733,-0.8972,1.2898,-0.3006,0.7583,-0.08,2.8423,1.034,1.2976,-0.0496,1.0037,1.4228,0.7885,0.9405,1.6579
2.0857,3.5419,0.4336,-1.2629,-0.1377,0.4746,-2.2622,-1.7581,2.4666,0.8454,-3.4649,2.1856,0.4636,1.9696,1.9069,-1.8142,1.0096,1.522,1.2665,-0.4596,-0.6337,0.6369,-0.9557,2.9369,-1.4476,0.6926,-1.6197,0.2623,-1.2868,-0.8918,1.7514,0.2317
0.6269,3.3887,0.1273,-2.4628,-1.0685,-1.4732,-2.607,-1.4016,1.5766,0.6751,-2.812,0.5777,-0.7894,0.1818,1.2496,-1.719,-1.0536,1.6377,2.5915,-1.3933,0.3121,-0.232,-1.445,1.6465,-1.8931,-0.5185,-1.7516,-0.4618,-2.3037,-1.5783,2.1579,-0.9316
-2.36,1.8565,0.1544,-1.9916,-0.9941,-2.1315,0.0294,-0.5456,-1.057,-0.0851,-0.5689,-1.1555,-1.0251,-0.3725,0.6013,-0.2901,-1.9526,-0.0416,2.3686,-1.2261,0.0255,-1.7731,-0.7321,-1.9533,-0.9186,-1.3091,-1.626,-1.0207,-1.6177,-1.1426,0.6435,-0.5113
-3.0916,0.8247,-0.4161,-0.6547,-0.3211,-1.0272,2.1472,0.3487,-1.3741,-0.0237,0.4456,-0.6475,-0.9185,0.5768,0.158,1.1317,-1.3201,-1.9708,1.3278,-0.9119,-0.892,-1.8701,-0.2885,-4.9692,0.7122,-1.5683,-1.8677,-1.6954,-1.0429,-1.163,-0.0368,0.5026
-2.8295,0.3843,-0.6062,0.5522,0.8157,0.1267,2.3822,1.2413,0.2357,0.8522,0.2473,-0.3502,-0.0446,0.8945,-0.5277,1.8554,0.6375,-1.5608,0.0052,-0.2969,-1.6022,-1.4881,-0.2632,-4.8528,2.1278,-0.812,-1.0584,-1.7289,-0.6898,-1.0906,-0.052,1.5597
-1.8094,2.124,0.2549,2.3105,1.4584,1.1441,3.9182,1.5954,0.553,0.8848,0.9646,0.2524,1.0747,0.1067,-0.685,2.7009,2.6546,0.888,-0.486,0.9252,-1.6383,-0.6163,-0.1472,-2.1653,2.0017,0.728,0.6493,-0.5194,-0.3244,0.2759,-0.8547,1.7831
0.4483,4.6075,0.4468,2.5475,1.625,2.8077,3.7087,0.9531,1.5592,1.616,2.3246,0.1647,1.5635,-0.3222,0.4541,2.9535,2.0917,0.8834,-0.0724,1.6234,0.2709,0.7468,0.4508,0.1836,1.3418,2.1686,1.5652,0.7861,-0.0594,1.697,-0.5353,0.6087
2.3237,4.6346,-0.2432,1.3164,1.6092,4.1773,2.0871,1.1733,2.3405,1.3423,4.5163,-0.4055,3.3,0.5,2.8427,2.6073,0.9616,0.0299,0.8315,2.3731,3.0812,1.3818,1.2106,-0.2514,0.9451,2.1221,0.9781,1.4843,-0.0139,0.3344,0.5966,0.04
2.0137,3.9888,0.0169,0.2893,1.8369,3.925,1.6557,2.3967,1.5178,0.1676,4.8783,0.6384,2.6636,1.6389,4.5393,3.0678,2.3262,0.9679,1.5657,2.5068,4.3394,0.6825,0.824,-0.4707,1.1378,1.3406,0.2404,2.416,0.6089,-0.6896,0.4101,0.7027
0.1599,2.4036,0.8541,0.9253,1.6724,3.0131,1.9533,2.4577,0.0956,-0.1845,2.9905,1.6736,0.4512,2.0252,4.5918,2.3026,3.4138,2.0721,1.7451,2.6462,3.1372,-0.0778,0.778,0.1329,1.7182,0.4882,0.1838,2.6515,0.7822,0.0924,-0.4451,1.5799
-1.6709,-0.7177,1.7466,1.7474,1.2858,2.0496,2.9552,1.722,-2.1841,-0.7999,2.2822,0.5786,0.222,1.3053,3.0949,0.6658,1.9006,1.8714,1.9022,1.9717,0.9831,-1.0631,1.4341,0.3932,2.1619,-0.0097,-0.4102,2.6405,0.6258,0.6532,-0.573,2.1603
-1.8387,-1.065,2.5104,1.392,1.196,2.0085,3.1756,0.7141,-2.73,-0.6409,1.9588,-0.4566,0.7355,0.6707,1.7291,-0.1108,0.1908,1.0774,0.7744,0.4891,-1.1816,-1.1253,1.923,0.4461,2.1095,-0.0655,-1.2078,1.2345,-0.1908,0.2842,0.267,1.9896
0.2341,-0.0061,2.808,0.6,0.5289,1.5628,1.2597,-0.4983,-1.7763,0.4423,2.1674,-0.3257,0.7496,0.2569,1.1347,-0.228,0.4823,-0.6079,-0.1447,-0.1503,-1.7899,0.4883,2.0332,-0.6722,1.5202,-0.5109,-1.8018,-1.237,-1.6001,-0.0424,0.4627,1.1352
2.038,-1.1671,1.9465,0.2884,0.5883,-0.6875,-0.4979,-1.1942,1.3152,0.9951,1.7847,-1.4982,-0.1552,0.4762,0.0709,0.0306,1.4949,-2.111,0.1124,0.738,0.2433,0.8926,1.0131,-0.2513,0.5559,-1.4219,-1.1226,-3.2331,-2.0516,-0.3746,-0.3123,0.1908
2.6144,-1.1249,0.9452,0.4021,0.9232,-1.8206,-1.5484,-0.7344,3.2449,0.7326,0.2116,-1.7379,-1.0237,-0.217,-0.6583,0.847,1.2373,-2.3484,0.9478,0.9715,2.298,-0.0243,0.3215,1.999,-0.4497,-2.242,0.2608,-2.2188,-0.5918,-0.2744,-1.1418,-1.042
2.3949,-0.0649,0.8282,-0.0068,1.034,0.2907,-0.8079,0.1432,1.933,0.0445,-0.3987,-0.4152,-0.0835,-0.0614,-0.0881,1.9482,1.2468,-0.5273,0.9865,0.6102,2.316,-0.1545,0.629,1.4335,-0.9988,-2.366,0.1096,-0.0777,0.9482,-0.4824,-1.1674,-1.1136
2.0218,0.2783,0.2585,0.29,1.4891,3.6788,1.3854,0.571,0.9372,0.1379,0.6947,0.9919,0.5208,1.0531,-0.6586,1.7186,1.386,3.2667,0.5929,0.785,1.5237,0.0167,1.1952,-1.2128,-0.8025,-1.4892,-0.5266,0.9588,0.5379,-0.6136,1.0875,0.5107
