"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
2.7286,1.3692,0.6407,1.3021,2.0983,1.9919,5.5479,2.0001,-0.029,1.4044,2.0834,2.8111,-0.6092,0.1925,0.4116,-0.9556,0.177,1.5468,4.088,1.2348,-0.723,-0.5336,1.1732,4.1498,-0.1332,1.7748,1.7626,3.0879,1.2841,2.7722,-0.7268,2.2434
2.94,1.4436,0.6741,1.3867,2.2083,2.0864,5.8594,2.1427,-0.0247,1.4742,2.254,3.0097,-0.6534,0.2391,0.4803,-1.0198,0.2047,1.6417,4.4002,1.3238,-0.7894,-0.6037,1.2719,4.4357,-0.1721,1.8769,1.8728,3.2953,1.3802,2.9818,-0.7972,2.4324
3.2099,1.5281,0.7096,1.5133,2.3797,2.2266,6.2814,2.3556,-0.0526,1.5967,2.4374,3.3053,-0.7085,0.2747,0.5078,-1.0885,0.2221,1.7371,4.7373,1.4249,-0.8924,-0.6909,1.3661,4.7819,-0.1973,2.0312,2.0385,3.5474,1.5307,3.2835,-0.8812,2.7046
3.4153,1.7926,0.6687,1.689,2.6853,2.4884,6.9887,2.5847,-0.1589,1.8131,2.557,3.7825,-0.8191,0.1719,0.3116,-1.1023,0.1855,1.8943,5.0434,1.5311,-1.0318,-0.7147,1.3557,5.1438,-0.0916,2.25,2.2293,3.8697,1.6978,3.5568,-0.8623,2.9533
0.9765,-0.6437,-0.2195,0.7027,0.3968,0.5051,1.1753,1.0246,-0.9737,-0.2666,1.4538,1.391,-1.1847,-0.0159,-0.6189,-0.1323,-0.3232,0.1673,0.8402,-1.3213,-0.8645,-1.9279,0.3234,1.5508,-0.107,0.6575,0.9887,0.7154,1.0743,1.6396,-1.0061,0.0563
0.4539,0.716,0.2768,0.7608,0.7505,1.4188,2.1874,0.2648,-0.9935,0.0109,1.8013,2.0634,-0.1613,-0.4053,-0.7626,-0.0297,-0.1387,1.1651,0.2525,-0.3469,-0.7589,-1.4459,0.3601,1.2288,1.1786,1.5881,1.1136,1.4307,1.2902,0.6462,-0.7997,-1.0546
-0.4397,1.6067,0.4375,-0.1139,0.0738,0.9814,0.2486,-0.7774,-0.0033,-0.2248,1.4012,0.736,1.0888,0.1645,-1.4245,-0.2032,0.5607,1.4577,-0.649,0.9304,-0.0431,0.3272,1.1839,0.901,1.8758,1.4809,0.514,1.9591,0.8617,-1.0254,-0.6184,-1.2865
-1.4506,2.2542,0.6628,-0.0647,-0.2621,-0.3772,-2.3402,-0.3552,2.2404,0.1555,0.4539,-0.306,2.4185,0.8313,-1.3658,0.172,1.2989,0.1826,-2.6182,2.2696,0.6037,2.0981,1.1519,0.0883,1.979,0.8183,-0.3035,1.2489,0.617,-2.1607,-0.619,-0.472
-1.5132,0.9858,0.6347,0.7358,0.2291,-1.2593,-3.3187,0.135,2.4079,0.2884,-0.0641,1.5878,3.0004,1.625,0.4052,0.7812,1.6856,0.2114,-2.186,3.094,0.5505,1.5465,-0.3922,-1.2166,1.6379,-0.6478,-0.8094,-0.1411,0.4308,-2.6102,0.1239,-0.4535
-1.1834,-1.7882,0.0455,0.3663,0.0339,-2.3099,-2.0277,-0.3881,0.9344,-0.4458,-0.7736,2.3108,1.7878,1.0443,1.3044,1.2932,1.0153,0.4398,-1.503,1.2284,-0.3087,-1.0561,-1.5571,-2.1302,0.2652,-2.0532,-1.0112,-1.4871,-0.2224,-2.0386,0.7264,-1.2121
-1.4812,-3.0191,-1.9168,-0.0267,-0.2379,-2.8509,0.4458,-0.6574,0.5789,-0.8274,-1.5664,0.7905,-0.5551,-0.335,1.9822,2.5156,-0.273,-0.8535,-1.9892,-0.8893,-0.653,-1.9747,-1.3208,-2.7507,-0.8996,-2.585,-0.8806,-1.5713,-0.8693,-0.8925,1.1262,-0.8352
-1.3802,-2.3138,-2.8015,-0.5468,-0.5208,-3.5702,-1.3343,-1.07,-0.3334,-0.6868,-2.7191,0.0737,-1.1037,-1.2844,1.0448,1.7659,-0.1783,-0.758,-2.4018,-1.4539,-0.8721,-0.4384,-0.9251,-3.02,-0.9586,-1.6881,-1.419,-0.8563,-0.4887,-0.5498,1.0708,0.0887
-1.5158,0.3919,-2.3808,-1.7077,-0.5346,-2.559,-2.9551,-1.5163,-1.019,-0.4672,-2.8568,1.0053,-0.7498,-1.5801,-2.2304,0.2892,-0.3714,0.391,-3.7014,-1.4748,-0.6716,1.1498,-0.9479,-2.8337,-0.5654,0.343,-2.075,0.5301,-0.6442,-0.7962,0.6089,-0.2519
-1.5644,1.0138,-0.9715,-1.3735,-0.4006,-1.2619,-2.6574,-1.0653,-1.3816,-1.054,-1.1875,1.1079,0.5077,-1.3639,-2.7765,-0.4409,-0.295,1.1588,-1.5764,-1.4895,-0.3505,1.3714,-1.4137,-2.4959,-0.8861,1.2192,-1.733,1.0697,-1.5431,-1.1609,-0.1278,-1.1389
-0.1088,-0.6633,1.3244,-0.1401,0.4086,-0.07,-0.7969,0.385,-0.8256,-0.4086,1.2461,0.278,1.8169,-0.257,1.1599,0.0584,1.0586,0.6064,1.8786,-0.39,0.8685,0.3733,-0.3949,-1.7893,-0.7688,0.5442,-0.9185,-0.0698,-1.1605,-1.5483,0.3598,-1.5629
0.8074,-0.7112,1.2973,0.2226,-0.1021,0.002,1.3168,0.6048,-0.3804,-0.1865,1.8341,-0.2873,0.5733,0.8023,3.4075,0.8856,1.7528,-1.1554,2.8284,-0.2747,0.8165,-0.8693,-0.1793,-1.252,-1.0009,-0.9734,-1.026,-1.1058,-0.495,-1.1465,0.3618,-0.9793
