"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
1.866,3.7035,0.286,0.2762,1.6702,-3.0625,-1.3788,1.0218,3.5106,1.9206,0.7918,3.0185,1.7312,0.8192,1.9142,1.6285,3.6096,2.4911,0.9808,0.0781,1.0452,3.4061,0.2907,0.8529,1.9489,0.8101,0.1405,0.5625,0.0711,-0.8229,1.2031,-0.729
1.888,3.9175,0.3378,0.3251,1.7775,-3.359,-1.4615,1.0671,3.6444,2.0155,0.833,3.1939,1.8402,0.8394,2.0095,1.6828,3.784,2.6395,0.9981,0.0909,1.102,3.6328,0.2934,0.8965,2.0927,0.8709,0.1887,0.6045,0.1035,-0.8673,1.2702,-0.7653
1.9411,4.2597,0.4304,0.4013,1.9337,-3.7097,-1.5765,1.1041,3.8379,2.0917,0.8833,3.4736,1.9506,0.8296,2.1455,1.7202,3.9762,2.8779,1.0471,0.0917,1.1442,3.8663,0.2484,0.9276,2.2228,0.9787,0.2118,0.6168,0.1714,-0.9086,1.32,-0.844
2.067,4.6926,0.4951,0.4725,2.0832,-4.1355,-1.7192,1.1899,4.0628,2.2358,0.8997,3.7939,2.0814,0.8289,2.2676,1.8066,4.2809,3.163,1.0622,0.0902,1.1782,4.1821,0.1735,0.9686,2.4233,1.0956,0.2533,0.687,0.2225,-0.9945,1.3797,-0.9508
2.2456,4.6945,0.3907,0.4626,2.1372,-4.44,-1.7898,1.4861,4.2028,2.6252,0.9327,3.7789,2.306,1.1487,2.3546,2.1397,4.7258,3.0557,1.0104,0.2073,1.3702,4.7016,0.4954,1.171,2.9032,1.061,0.5801,0.9625,0.1975,-1.0766,1.6897,-0.7895
2.5695,2.2129,1.16,0.5966,1.6088,-2.4283,-1.0896,1.6546,1.8511,2.0551,0.421,1.19,2.1453,1.5835,1.1485,3.5548,4.6356,0.7113,1.0403,1.0047,1.6912,3.7579,0.7634,1.3564,2.8224,-0.4146,1.0679,1.847,0.2014,-0.3543,2.2432,0.0129
-1.2611,-0.7618,0.0594,-0.5994,-0.0716,-1.4431,-0.0014,0.617,-0.2968,1.98,-0.8757,-1.2989,0.473,2.1445,-0.6833,2.2556,3.0503,-2.5116,-1.3604,-0.6319,0.4425,2.5506,1.4872,-0.6242,1.1489,-2.5734,0.4939,-0.0364,-1.1118,-0.1639,1.1916,1.0225
-5.4507,-3.7713,-0.8155,-2.0342,-1.9885,0.6396,2.0684,-2.4489,-2.0382,0.3433,-1.0381,-3.2893,-1.4471,1.202,-1.6272,-0.6444,-0.1756,-3.2811,-2.7327,-1.5371,-0.3229,0.2198,1.1364,-2.0053,-1.8887,-3.0116,-1.2576,-2.2322,-2.3242,8e-04,-0.7278,0.7698
-6.2993,-3.8739,-2.0835,-2.8719,-3.7989,1.4685,3.6748,-3.9285,-2.2632,-0.1362,-0.5721,-4.0649,-2.2176,0.6771,-2.561,-1.6812,-1.303,-1.1118,-2.4066,-1.0749,-0.84,-1.0384,-0.078,-3.1441,-3.0972,-2.088,-3.1241,-2.2854,-3.3273,-0.8109,-1.7767,-0.1803
-4.6677,-2.4854,-1.8238,-2.3,-3.4625,3.0455,3.0282,-2.4808,-1.1523,-0.1987,0.6292,-2.9788,-1.1218,1.6035,-2.5762,-1.1458,-2.0581,-0.5498,-0.1953,-0.3069,-0.4358,-1.0109,-0.8053,-4.2845,-2.7082,-2.01,-3.1965,-1.5774,-3.3202,-1.0617,-1.6002,0.6771
