"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
0.6976,1.0674,-0.244,0.2375,-0.1322,-2.2881,-1.0057,0.4827,1.032,-0.0685,0.0076,0.0814,1.5861,-0.8563,1.0495,0.9014,-0.0419,-0.7722,0.5058,1.0164,1.086,-0.6131,0.7547,2.6416,0.3321,0.3709,1.1457,-0.0828,0.5334,0.0682,0.1834,2.098
0.7884,1.1593,-0.235,0.3111,-0.093,-2.4027,-1.0205,0.5403,1.1214,-0.0718,0.0196,0.0811,1.7163,-0.9197,1.1674,1.0234,-0.0175,-0.8369,0.5722,1.1022,1.2037,-0.643,0.8449,2.8711,0.4041,0.4129,1.2537,-0.0523,0.6194,0.1089,0.2072,2.2452
0.9278,1.29,-0.2291,0.3813,-0.0773,-2.6019,-1.1354,0.6239,1.2803,-0.0415,0.0483,0.1145,1.8732,-0.9786,1.2883,1.1514,-0.0066,-0.9563,0.6542,1.23,1.3589,-0.6686,0.9766,3.0799,0.499,0.4519,1.3595,-0.0304,0.708,0.1185,0.238,2.4309
1.0353,1.3743,-0.2132,0.4433,-0.0562,-2.746,-1.1747,0.7249,1.42,-0.0211,0.0581,0.1139,2.0553,-1.0759,1.4062,1.2546,-0.0219,-1.0985,0.7248,1.3213,1.5309,-0.7009,1.0988,3.3244,0.5825,0.4887,1.4905,0.0017,0.8,0.1323,0.2538,2.6231
0.8848,1.2099,-0.1961,0.4695,0.0493,-2.4689,-0.6901,0.6637,1.1952,-0.2174,-0.0386,-0.1191,2.158,-1.2111,1.5664,1.3472,0.0105,-1.0132,0.6979,1.2176,1.5503,-0.789,0.971,3.7858,0.5097,0.4823,1.6905,0.1039,0.8641,0.2993,0.2242,2.6131
0.5796,1.0216,-0.197,-0.2294,-0.0183,-1.008,0.8595,0.0649,1.6974,-0.1951,0.3892,-0.8166,1.4547,-0.5985,2.0592,1.9636,1.6495,1.1709,1.6785,0.3618,1.6339,-0.0013,0.6126,4.8299,0.7802,0.4785,1.66,-0.2579,1.3599,0.7905,0.7281,2.4531
-1.546,-0.2473,-0.7167,0.0871,-0.422,-1.5381,0.9528,-1.4106,-2.0061,-2.8253,-0.4247,-1.5072,0.5197,-0.3836,1.9034,0.4315,0.5237,1.1994,-0.4542,0.0708,-0.5341,-1.157,-0.9538,4.7771,-0.1524,7e-04,1.2601,0.3074,1.4217,1.1617,0.1645,1.9352
-2.2208,-1.7919,-1.9057,0.1129,-1.0426,-2.7662,-0.6663,-2.5165,-4.2244,-4.107,-0.4565,-1.0153,-0.7772,-0.2705,0.3955,-1.6948,-1.3228,-0.2451,-0.9029,0.2311,-1.9341,-2.8472,-1.7368,2.1271,-1.4366,-0.391,-0.6681,-0.0897,0.4349,-0.1032,-0.583,0.7301
-2.3524,-3.1756,-2.3374,0.4448,-0.5951,-3.052,-1.1869,-3.2861,-3.3248,-3.7969,-1.0038,-0.755,-1.6038,-1.5113,-1.446,-3.47,-3.044,-2.1474,-0.8008,-0.5839,-2.3861,-4.19,-1.5511,-0.6101,-2.051,-0.3867,-1.5821,-0.7583,-0.6148,-1.8065,-1.6581,-0.003
-3.2443,-2.2509,-2.1946,0.2171,-0.1184,-3.1024,-0.6212,-3.1198,-2.0552,-3.025,-1.7258,-1.0011,-1.3944,-1.488,-1.6386,-3.1037,-2.5003,-2.9438,-2.3527,-1.6298,-2.236,-3.5846,-1.3763,-1.8765,-2.5878,-0.8992,-1.2723,-0.2095,-1.0461,-2.2904,-1.4788,-0.363
