"Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal","Somatomotor_Dorsal"
-1.3353,-0.5707,1.4915,-0.1493,-1.581,2.0315,0.32,0.6221,-1.3917,-2.8672,-0.1474,-1.3284,-1.0005,-2.2888,-0.8205,-1.4509,-1.7406,-2.0337,-1.0129,-0.001,-1.6737,-2.5309,0.2171,0.4293,-1.3396,-2.4554,-1.6029,-1.4144,-1.0467,-0.2609,-1.0278,0.4418
-1.444,-0.6335,1.5758,-0.1693,-1.7181,2.1988,0.3579,0.646,-1.5287,-3.1056,-0.1428,-1.4309,-1.1302,-2.5014,-0.8791,-1.5788,-1.9058,-2.2132,-1.081,-0.0407,-1.8144,-2.7344,0.2302,0.4828,-1.4504,-2.6469,-1.6998,-1.5352,-1.1,-0.2918,-1.1357,0.4585
-1.5642,-0.7004,1.6936,-0.1741,-1.9091,2.4095,0.4169,0.6975,-1.6696,-3.4186,-0.1608,-1.5848,-1.2338,-2.7731,-0.9123,-1.7458,-2.0993,-2.4933,-1.1483,-0.0727,-1.9697,-2.9947,0.2649,0.5653,-1.5845,-2.8774,-1.8255,-1.6704,-1.1877,-0.3288,-1.2561,0.4975
-1.6991,-0.7778,1.8403,-0.1882,-2.1312,2.6394,0.4656,0.7631,-1.8343,-3.7694,-0.1901,-1.7204,-1.3722,-3.0541,-0.9321,-1.9244,-2.3326,-2.7627,-1.2143,-0.0686,-2.1361,-3.3244,0.2823,0.5736,-1.7378,-3.1768,-1.9896,-1.846,-1.316,-0.3778,-1.3682,0.5453
-1.8952,-0.9468,1.8253,-0.3888,-2.1789,2.6323,0.3788,0.6806,-2.1711,-3.8705,-0.1447,-1.6883,-1.8061,-3.1436,-1.2017,-1.9934,-2.5608,-2.5336,-1.3408,-0.1053,-2.3461,-3.5024,0.111,0.3159,-1.8681,-3.488,-2.1062,-2.096,-1.3857,-0.4464,-1.5257,0.4992
-0.5561,-0.0242,-1.8081,-1.0404,-0.691,-0.0203,0.5079,0.4069,-1.2953,-0.9993,-0.6633,-0.4788,-2.08,-0.9902,0.38,-1.314,-1.49,0.2068,0.1081,-0.7471,-0.2208,-0.8877,-0.3986,-1.6769,-0.2701,-0.6214,-0.2261,0.2638,0.5867,0.2252,0.6124,0.0456
-0.3365,0.0558,-0.6422,-1.2023,1.5846,0.8115,1.1533,-0.0589,-0.5523,0.3517,0.2351,-0.3521,0.0623,1.213,0.2158,0.1871,-0.0672,1.3887,1.4063,-0.0465,1.0246,0.0265,-1.0245,-1.0773,-0.4352,0.2381,0.2671,0.6414,0.4609,0.1401,0.9077,-0.2559
0.2321,0.3889,-1.0059,-0.425,1.8538,0.7812,0.6228,-0.881,0.6331,0.5246,0.504,-0.0992,1.6694,1.2063,0.456,0.697,0.7223,0.8351,1.24,0.3898,1.4783,1.1278,-0.4278,0.9474,-0.5227,1.5134,0.9453,1.0981,0.9304,-0.1825,0.0405,-0.6163
0.6039,0.646,-1.1729,0.944,1.1479,0.1641,-0.6106,-1.3224,2.7266,0.2219,1.101,0.2646,1.7917,1.4158,-0.5714,1.4408,0.6286,-0.8543,0.7224,0.6138,0.443,1.4533,-0.0517,2.1058,0.0898,2.5991,2.1608,1.0054,1.4307,-0.5588,-0.7538,-0.4075
0.7164,0.4174,-9e-04,1.5606,1.237,-0.4211,-1.5353,-1.1053,3.2179,0.3623,2.0536,0.3156,0.1908,1.7026,-0.347,2.3055,0.8348,-0.8757,0.6342,2.0839,0.965,1.4774,0.2889,1.7163,0.0857,3.6864,3.4863,-0.0664,1.5764,-0.2667,-0.1576,0.2905
