,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal
1,0.3202,1.61,1.1032,0.8713,0.1225,1.261,0.2362,1.2635,2.9005,-0.707,0.287,2.3091,1.9966,0.4225,2.4257,1.67,0.215,-3.1102,-0.6016,1.1845,0.3775,-0.8117,3.6411,-0.8787,1.3246,0.3457,-1.0107,-1.6621,0.2367,0.4069,-2.2025,-1.2415
2,0.3531,1.7598,1.1895,0.904,0.0694,1.28,0.1996,1.3306,3.0205,-0.8004,0.3215,2.539,2.1469,0.4376,2.5875,1.7442,0.1995,-3.3458,-0.7048,1.3231,0.3538,-0.9006,3.856,-0.9419,1.4223,0.3155,-1.0937,-1.8431,0.205,0.4205,-2.3686,-1.3069
3,0.3756,1.8107,1.254,0.9062,0.0034,1.3581,0.1948,1.4009,3.2312,-0.9103,0.3716,2.7824,2.3432,0.4148,2.7973,1.832,0.1809,-3.6613,-0.8267,1.4592,0.304,-1.0289,4.1146,-1.0226,1.5355,0.2879,-1.1954,-1.9856,0.1422,0.4032,-2.5784,-1.4057
4,0.386,1.385,1.0877,0.9749,-0.1016,1.476,0.3087,1.4571,3.327,-1.0223,0.2722,2.8835,2.3863,0.3814,2.8494,1.8412,0.0519,-3.9073,-0.853,1.3642,0.291,-1.2145,4.3805,-1.1631,1.437,0.2735,-1.2677,-2.0793,0.1214,0.2692,-2.7295,-1.6086
5,0.1524,0.5325,-0.6218,-1.7175,-1.0249,0.5267,0.1698,0.1374,-0.8995,-0.0384,-0.6362,-0.5194,0.6853,0.0139,0.7543,-0.6353,-0.9102,-0.8157,-1.2222,0.418,0.1665,-0.6915,1.0649,-1.2463,-1.0887,-0.7449,-1.0067,-0.6213,-2.9149,-1.1148,-1.1211,0.3571
6,-0.1548,-2.1209,-0.9747,-0.3542,-0.7821,0.9602,1.8674,-0.1137,-1.9513,-0.1046,-0.9583,0.3795,-0.8528,0.7519,-0.3643,-0.8033,-1.3189,-1.1018,0.8724,-1.9019,1.8508,-0.7029,1.1552,-1.2943,-1.1419,-0.0825,-0.4431,-1.0045,-0.0388,-0.8317,-1.172,0.2727
7,0.1546,-2.9851,-1.4185,0.6739,-1.9745,-0.4247,1.0463,0.356,-2.261,0.5686,-0.3622,0.8215,-0.8621,1.4219,-2.3309,-1.5182,-1.9289,-0.798,2.8732,-3.41,3.1579,0.1061,0.3404,-0.514,0.0714,-0.0421,-1.0066,-2.5605,2.6375,-0.4061,-0.7604,-0.5068
8,0.4831,-2.5341,-0.139,2.2593,-2.0925,-1.6775,-0.9703,0.7723,-0.4009,0.8217,0.6223,1.4627,0.6652,0.9891,-2.6539,-1.8674,-2.4009,0.9301,3.2788,-2.5585,2.1657,0.6123,-0.5703,0.8939,1.2669,-0.2055,-2.0094,-3.8041,3.8465,0.9246,-0.2117,-0.2836
9,1.2556,-0.1921,2.1237,4.2116,-0.8802,-1.4708,-1.0693,0.2671,1.2155,0.5029,0.776,3.8016,0.9707,0.1958,-1.2225,-1.4944,-2.6418,3.4585,2.0752,-1.4829,-0.408,-0.0159,-0.3295,0.7655,0.93,0.055,-2.1205,-4.3398,3.7353,2.5417,0.1165,1.2611
10,0.5826,0.7868,1.5475,2.5931,-1.14,-0.243,-0.0952,-0.0135,1.4423,1.7746,1.0748,3.0784,1.2998,-0.3425,-0.4255,-1.0088,-2.3074,2.0672,0.9245,-0.9725,-1.5882,-0.1261,0.3809,-0.3303,1.1232,-0.3877,-1.4609,-2.7047,3.5604,0.983,-0.0551,1.3645
