"","PC1","PC2"
"cos58",-0.138178108426321,-0.0532575636547303
"sin59",0.0755758511835063,-0.0415998225770562
"cos59",-0.0157999000787329,-0.0197400832750261
"sin60",-0.0376178002855365,-0.00624825556890803
"cos60",-0.0446017853741411,-0.0802796884514084
"sin61",-0.0984091348772643,0.0743554330649379
"cos61",-0.0271000601898177,-0.0904988154142417
"sin62",0.0589162530117511,0.013778810824584
"cos62",0.0851136352068678,0.00542591569936443
"sin63",0.0729373920699097,0.0878801914332631
"cos63",-0.0162105800959281,0.0150692940076727
"sin64",0.0297841860438223,0.0549903753903998
"cos64",0.0550081861384194,-0.00499446266900148
"sin65",-0.0390432160765397,-0.00418438965427349
"cos65",-0.00301816708708284,0.0652789450044644
"sin66",-0.0318245897309864,-0.0411904952841564
"cos66",-0.0874417408945045,-0.00102249987956685
"sin67",-0.00986488799523431,-0.107803542032554
"cos67",-0.0212507587654201,-0.0532049217453125
"sin68",-0.0267084766930932,0.0854271769370554
"cos68",0.00679192213801365,0.00911574789725134
"sin69",-0.0599909346646248,-0.127218768059564
"cos69",-0.0232832816817787,0.0991562717242392
"sin70",-0.0227111990727746,0.0705050834541217
"cos70",0.0202936211066924,0.0135218614037866
"sin71",-0.0835158290349648,-0.0534443453567614
"cos71",-0.0777062142787157,-0.027333038809564
"sin72",0.0983969120756962,0.0403289836223376
"cos72",0.0029625747694972,-0.0394852352378767
"sin73",-0.0268244172709427,-0.0585073330319603
"cos73",-0.0393270697447039,0.0569125598915926
"sin74",0.046518247323041,-0.0310783055399406
"cos74",-0.00914893162672468,-0.0607259102698838
"sin75",0.10915335088886,-0.0598743835944528
"cos75",-0.00837330690943006,-0.0881322783438009
"sin76",-0.0636665620979642,-0.0189836165722278
"cos76",-0.00275975160011209,0.0857467586096215
"sin77",0.0224090580371865,-0.0551222926985401
"cos77",-0.0332242792478649,-0.0604549327136475
"sin78",0.0246548915833278,0.0118901233715713
"cos78",0.0421271868505326,0.0591349559796337
"sin79",-0.116402543237986,0.0154393528980809
"cos79",0.000893492100461085,-0.0791352167793768
"sin80",0.0104150841493079,0.0506082326447603
"cos80",0.0192946809823205,0.0228068895321677
"sin81",-0.0714589400364084,0.0199891199668778
"cos81",-0.00331054287484591,-0.0114538317688913
"sin82",0.0521697101539861,0.0122195101561529
"cos82",-0.0364847188672274,-0.0168423802445674
"sin83",0.0277745568459493,0.00618950560354765
"cos83",0.030564979336175,-0.0485011325903263
"sin84",-0.0375400580419456,0.0352052617810914
"cos84",0.0150255948058,0.0930739551698762
"sin85",-0.0498187870910231,0.0154865386211428
"cos85",-0.0132984003427532,0.00680358987213595
"sin86",-0.0866571567616317,-0.0116074184598962
"cos86",-0.00880135066564564,-0.0116116528665136
"sin87",-0.0258527939103939,-0.0244124165885417
"cos87",0.0345754231755751,0.00451703572700063
"sin88",-0.0839293381608376,0.0555506019213969
"cos88",-0.000210521276003373,0.0103769363020692
"sin89",0.0126651871663341,0.000204372747600821
"cos89",-0.0505126077641909,0.0333110874894962
"sin90",0.0754443424983388,0.0700251066800448
"cos90",0.0054341351645875,-0.0413577005079171
"sin91",0.0393579018594801,0.040269727293781
"cos91",0.0134426976626401,0.0167521376464095
"sin92",0.0479532958282266,0.00224718609491456
"cos92",-0.180274016026541,0.0387558136179995
"sin93",0.0425340531659,0.0391381182074098
"cos93",0.0117630300068357,-0.0786058039882641
"sin94",0.0216130224286968,-0.0117318553432414
"cos94",0.0516900310903787,-0.0409302038366912
"sin95",0.0531537721111776,0.0555789785748272
"cos95",-0.0794637173136862,0.00638067589043941
"sin96",-0.00181889472825452,-0.0376254283389694
"cos96",-0.0345421498985028,0.108555774573479
"sin97",0.0411861060317088,-0.0702817441661084
"cos97",-0.0841412245176301,-0.0282053355867331
"sin98",0.0362203763013857,-0.0116828170331522
"cos98",0.0539513707830937,0.00657129981459883
"sin99",-0.0247053896731744,0.0419339444124858
"cos99",0.0440154059183417,-0.0693050827938081
"sin100",-0.0846011895794764,0.0669411732328161
"cos100",0.106793173532745,0.112929533202378
"sin101",-0.0296443839389997,-0.0599205203493802
"cos101",-0.0554340334608352,-0.00321016588280301
"sin102",0.0284131622128141,-0.0433362722802126
"cos102",0.0195565730812461,0.0319762519031666
"sin103",-0.0609021801596732,0.000806802788121678
"cos103",0.0095732531855868,0.0134507204836867
"sin104",-0.0103183047519497,-0.0159363994316919
"cos104",-0.0194288424925459,-0.000524314079235674
"sin105",-0.00145889476637684,0.0225458976074251
"cos105",-0.0477923578349228,0.0405484875235519
"sin106",-0.0029049821011652,-0.0348395001208972
"cos106",-0.0803147031738769,0.0917044634407896
"sin107",0.0655967750711847,0.02589699364745
"cos107",-0.0151244231245059,0.00764740230248033
"sin108",-0.0382098547935768,-0.102406219092293
"cos108",0.0641983733499028,-0.0422140366942123
"sin109",0.059972420955816,0.000735943738546406
"cos109",0.0179346769792866,0.0451556371173606
"sin110",0.0107972315182553,-0.0510398721448313
"cos110",-0.0362342833533021,-0.00650344377786665
"sin111",0.0667030132608042,0.0231595404933808
"cos111",-0.096710376888452,0.056930945950565
"sin112",0.0526560504950872,-0.0291383940099471
"cos112",-0.0644841704341217,-0.0226721263253449
"sin113",0.0199237186961533,0.0542165925479113
"cos113",0.031489926374174,-0.0220747178911945
"sin114",0.010882584427084,0.0575920115506622
"cos114",-0.025398123671895,0.0846957781655608
"sin115",0.057227880525437,-0.00333795393821666
"cos115",-0.0335482605110021,0.0309014577261143
"sin116",0.0193973003494923,0.00639546026776412
"cos116",0.0100330931473444,0.0826503597047567
"sin117",0.0323780102639843,-0.037868306619111
"cos117",0.00431923925284205,0.00847257424886244
"sin118",-0.00889195022045642,-0.0448792176135367
"cos118",0.0296053256538796,0.0314165773569752
"sin119",0.00385356498804231,-0.0340515121879625
"cos119",0.0130223663724944,-0.0518372779019873
"sin120",-0.0205399856297027,0.0272408157942533
"cos120",0.0284664341642989,0.0402678510192806
"sin121",0.0105548715421617,-0.0140830328770564
"cos121",-0.0167059691574645,-0.0532092987596696
"sin122",0.0406583437908414,-0.00506904062692136
"cos122",0.00466851439095187,0.0231818254688511
"sin123",0.0318702924964611,-0.0636800116421661
"cos123",0.0357262642074105,-0.0350159656025814
"sin124",-0.0443156045133082,-0.0528866106544684
"cos124",0.000734891107189858,-0.0429943510154744
"sin125",0.0276114056768908,0.0150162798561703
"cos125",-0.00907998402669356,-0.0311722151988615
"sin126",-0.0171249840082473,-0.0048117509242581
"cos126",-0.0202776062031493,-0.0396679933181391
"sin127",0.010421814984186,0.0239119597702881
"cos127",-0.0355581750008768,-0.0227416579803288
"sin128",0.000206060406842485,-0.00908918088695518
"cos128",0.0684626194207611,-0.0101244790248974
"sin129",-0.0203462516351007,0.0271468778510988
"cos129",0.0126922623245127,-0.00746875103461184
"sin130",0.017995892310512,-0.000385357795857243
"cos130",-0.0498810710186105,-0.0003449616755657
"sin131",0.0297802410996627,-0.00924556659001194
"cos131",0.00479207783077547,0.0620793936450469
"sin132",0.0341929012809912,-0.0204547369169716
"cos132",0.0344904249630772,-0.0760265621806972
"sin133",0.010822094420589,0.0393926001396461
"cos133",0.0588963287199668,-0.00584639254106685
"sin134",-0.00552707189562731,-0.0333083593665777
"cos134",0.0411284616725879,0.0196797266079654
"sin135",0.00401747203858951,0.00767516543381042
"cos135",-0.0376222531752696,-0.0225528216221942
"sin136",0.0470017036745947,0.0555488062382014
"cos136",0.0750981484503659,0.00581010704385534
"sin137",-0.0445180438728262,-0.101035881580235
"cos137",0.0405989233718412,-0.0390043361827187
"sin138",-0.040078266874303,0.0655109366080397
"cos138",-0.0390408439062786,0.0286129505103943
"sin139",0.0158160340912402,-0.056821865218321
"cos139",0.0314472610277944,-0.0398079623089222
"sin140",-0.00693090908227576,0.0689683983222166
"cos140",0.0273371079758943,-0.022041577125265
